feature,importance
s_dhw_supply_temperature_setpoint__missing_rate,0
p_net_meter_flow__first,0
is_weekend,0
p_net_meter_energy__std,0
p_net_meter_heat_power__delta,0
s_dhw_upper_storage_temperature__missing_count,0
s_hc1_heating_pump_status_setpoint__dominant__is__aus,0
hc1_supply_temperature_gap__last,0
row_count,0
p_net_supply_temperature__delta,0
p_net_return_temperature__missing_rate,0
s_hc1_supply_temperature_setpoint__missing_count,0
s_hc1_supply_temperature_setpoint__missing_rate,0
timestamp_gap_count,0
p_net_return_temperature__missing_count,0
p_net_meter_heat_power__missing_count,0
hc1_supply_temperature_gap__mean,0
p_net_meter_volume__missing_rate,0
p_net_meter_volume__missing_count,0
s_dhw_lower_storage_temperature__missing_count,0
s_dhw_lower_storage_temperature__missing_rate,0
p_net_meter_heat_power__missing_rate,0
p_net_meter_energy__missing_rate,0
p_net_meter_energy__missing_count,0
anomaly_consensus_count,0
dhw_supply_temperature_gap__last__roll7d_delta,0
max_timestamp_gap_minutes,0
hc1_supply_temperature_gap__last__roll7d_delta,0
has_buffer_tank,0
dhw_supply_temperature_gap__last__roll24h_delta,0
dhw_supply_temperature_gap__last__roll3d_delta,0
dhw_supply_temperature_gap__last__roll3d_slope,0
dhw_supply_temperature_gap__last__roll7d_slope,0
strong_anomaly_label,0
season_bucket__is__summer,0
outdoor_temperature__mean__roll24h_delta,0
season_bucket__is__spring,0
s_hc1_heating_pump_status_setpoint__dominant__is__missing,0
outdoor_temperature__mean__roll7d_delta,0
s_hc1_heating_pump_status_setpoint__dominant__is__ein,0
hc1_supply_temperature_gap__last__roll24h_delta,0
missing_rate,0
network_temperature_gap__last__roll7d_delta,0
network_temperature_gap__max_abs,0
p_net_supply_temperature__missing_rate,0
network_temperature_gap__last__roll3d_delta,0
network_temperature_gap__last__roll24h_delta,0
network_temperature_gap__max_abs__roll7d_slope,0
network_temperature_gap__max_abs__roll7d_delta,0
network_temperature_gap__max_abs__roll3d_slope,0
network_temperature_gap__max_abs__roll3d_delta,0
network_temperature_gap__max_abs__roll24h_delta,0
outdoor_temperature__min,0
network_temperature_gap__mean__roll7d_delta,0
p_hc1_return_temperature__first,0
network_temperature_gap__mean__roll24h_delta,0
anomaly_event_label,0
s_dhw_supply_temperature__delta,0
