threshold,row_precision,row_recall,row_f1,row_f0_5,false_positive_rate,tp,fp,fn,tn,total_fault_events,detected_fault_events,event_recall,median_lead_time_hours,false_positive_episodes,normal_count,manufacturer,configuration_type
0.48999999999999994,0.4782608695652174,0.6984126984126984,0.5677419354838709,0.5104408352668214,0.3582089552238806,44,48,19,86,4,4,1.0,67.85,6,134,manufacturer 1,SH + DHW
0.49999999999999994,0.4782608695652174,0.6984126984126984,0.5677419354838709,0.5104408352668214,0.3582089552238806,44,48,19,86,4,4,1.0,67.85,6,134,manufacturer 1,SH + DHW
0.5099999999999999,0.4782608695652174,0.6984126984126984,0.5677419354838709,0.5104408352668214,0.3582089552238806,44,48,19,86,4,4,1.0,67.85,6,134,manufacturer 1,SH + DHW
0.5199999999999999,0.4777777777777778,0.6825396825396826,0.5620915032679739,0.508274231678487,0.35074626865671643,43,47,20,87,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.5299999999999999,0.4777777777777778,0.6825396825396826,0.5620915032679739,0.508274231678487,0.35074626865671643,43,47,20,87,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.5399999999999999,0.4777777777777778,0.6825396825396826,0.5620915032679739,0.508274231678487,0.35074626865671643,43,47,20,87,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.5499999999999999,0.4777777777777778,0.6825396825396826,0.5620915032679739,0.508274231678487,0.35074626865671643,43,47,20,87,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.5599999999999999,0.48314606741573035,0.6825396825396826,0.5657894736842105,0.513126491646778,0.34328358208955223,43,46,20,88,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.57,0.48314606741573035,0.6825396825396826,0.5657894736842105,0.513126491646778,0.34328358208955223,43,46,20,88,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.58,0.48314606741573035,0.6825396825396826,0.5657894736842105,0.513126491646778,0.34328358208955223,43,46,20,88,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.59,0.4942528735632184,0.6825396825396826,0.5733333333333334,0.5231143552311436,0.3283582089552239,43,44,20,90,4,4,1.0,67.85,6,134,manufacturer 1,SH + DHW
0.6,0.4942528735632184,0.6825396825396826,0.5733333333333334,0.5231143552311436,0.3283582089552239,43,44,20,90,4,4,1.0,67.85,6,134,manufacturer 1,SH + DHW
0.61,0.4883720930232558,0.6666666666666666,0.563758389261745,0.515970515970516,0.3283582089552239,42,44,21,90,4,4,1.0,67.85,6,134,manufacturer 1,SH + DHW
0.62,0.49411764705882355,0.6666666666666666,0.5675675675675677,0.5210918114143921,0.3208955223880597,42,43,21,91,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.63,0.49411764705882355,0.6666666666666666,0.5675675675675677,0.5210918114143921,0.3208955223880597,42,43,21,91,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.6399999999999999,0.5,0.6666666666666666,0.5714285714285715,0.5263157894736842,0.31343283582089554,42,42,21,92,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
