threshold,row_precision,row_recall,row_f1,row_f0_5,false_positive_rate,tp,fp,fn,tn,total_fault_events,detected_fault_events,event_recall,median_lead_time_hours,false_positive_episodes,normal_count
0.21999999999999997,0.47104247104247104,0.8531468531468531,0.6069651741293532,0.5173876166242578,0.4756944444444444,122,137,21,151,11,11,1.0,67.2,19,288
0.22999999999999998,0.4820717131474104,0.8461538461538461,0.6142131979695431,0.5274629468177855,0.4513888888888889,121,130,22,158,11,11,1.0,67.2,18,288
0.24,0.48,0.8391608391608392,0.6106870229007634,0.5249343832020997,0.4513888888888889,120,130,23,158,11,11,1.0,67.2,18,288
0.24999999999999994,0.4918032786885246,0.8391608391608392,0.6201550387596898,0.5361930294906166,0.4305555555555556,120,124,23,164,11,11,1.0,67.2,18,288
0.25999999999999995,0.5042735042735043,0.8251748251748252,0.6259946949602122,0.5468025949953661,0.4027777777777778,118,116,25,172,11,11,1.0,67.2,16,288
0.26999999999999996,0.5086206896551724,0.8251748251748252,0.6293333333333333,0.5508870214752568,0.3958333333333333,118,114,25,174,11,11,1.0,67.2,17,288
0.27999999999999997,0.52,0.8181818181818182,0.6358695652173912,0.5608820709491851,0.375,117,108,26,180,11,11,1.0,67.2,16,288
0.29,0.5181818181818182,0.7972027972027972,0.628099173553719,0.5571847507331378,0.3680555555555556,114,106,29,182,11,11,1.0,67.2,15,288
0.3,0.5209302325581395,0.7832167832167832,0.6256983240223464,0.5583250249252243,0.3576388888888889,112,103,31,185,11,11,1.0,67.2,16,288
0.30999999999999994,0.5260663507109005,0.7762237762237763,0.6271186440677966,0.5623100303951368,0.3472222222222222,111,100,32,188,11,11,1.0,67.2,13,288
0.31999999999999995,0.5263157894736842,0.7692307692307693,0.625,0.5617977528089888,0.34375,110,99,33,189,11,11,1.0,67.2,12,288
0.32999999999999996,0.5240384615384616,0.7622377622377622,0.621082621082621,0.558974358974359,0.34375,109,99,34,189,11,11,1.0,67.2,12,288
0.33999999999999997,0.5217391304347826,0.7552447552447552,0.6171428571428572,0.5561277033985582,0.34375,108,99,35,189,11,11,1.0,67.2,12,288
0.3499999999999999,0.5245098039215687,0.7482517482517482,0.6167146974063401,0.5578727841501564,0.3368055555555556,107,97,36,191,11,11,1.0,67.2,13,288
0.35999999999999993,0.527363184079602,0.7412587412587412,0.6162790697674418,0.5596620908130939,0.3298611111111111,106,95,37,193,11,11,1.0,67.2,13,288
0.36999999999999994,0.5329949238578681,0.7342657342657343,0.6176470588235294,0.5639097744360902,0.3194444444444444,105,92,38,196,11,11,1.0,67.2,13,288
0.37999999999999995,0.533678756476684,0.7202797202797203,0.6130952380952381,0.5628415300546448,0.3125,103,90,40,198,11,11,1.0,67.2,13,288
0.38999999999999996,0.5489130434782609,0.7062937062937062,0.6177370030581041,0.5745164960182025,0.2881944444444444,101,83,42,205,11,11,1.0,67.2,13,288
0.3999999999999999,0.5388888888888889,0.6783216783216783,0.6006191950464397,0.5619930475086906,0.2881944444444444,97,83,46,205,11,11,1.0,67.2,13,288
