feature,category,importance,missing_rate,zero_rate,unique_count,min,median,max,target_corr,causal_requirement
s_hc1_supply_temperature_setpoint__max,sensor_window_stat,7.0,0.0,0.0,745,10.0,64.0,90.0,0.05922207207224452,must be computed using only data available at or before window_end
month,time_calendar,7.0,0.0,0.0,12,1.0,6.0,12.0,0.015659568541027135,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll7d_slope,causal_temporal,6.0,0.0,0.05376799322607959,2229,-22.94999999999998,0.0,23.075,-0.024655693751370195,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll7d_slope,causal_temporal,6.0,0.0,0.056731583403895,2227,-16.38888888888889,0.0028236783792339047,15.32888888888887,-0.015209184383658186,must be computed using only data available at or before window_end
p_net_return_temperature__delta,causal_temporal,6.0,0.0,0.09991532599491956,638,-40.0,0.0,38.0,-0.013009989338282138,must be computed using only data available at or before window_end
s_dhw_supply_temperature_setpoint__mean__roll7d_mean,causal_temporal,6.0,0.0,0.0,445,48.11111111111111,60.0,71.42592592592592,0.08349368201822475,must be computed using only data available at or before window_end
s_dhw_3-way_valve_status__dominant__is__aus,operation_state,6.0,0.0,0.8065198983911939,2,0.0,0.0,1.0,-0.1547630078066548,must be computed using only data available at or before window_end
p_net_return_temperature__mean,sensor_window_stat,6.0,0.0,0.0,1541,10.416666666666666,49.86111111111112,68.19444444444444,-0.08691150055660019,must be computed using only data available at or before window_end
p_net_supply_temperature__last,sensor_window_stat,6.0,0.0,0.0,618,11.0,90.0,109.94833333333332,0.015999163931855367,must be computed using only data available at or before window_end
s_hc1_supply_temperature__std,sensor_window_stat,6.0,0.0,0.006350550381033023,2348,0.0,2.3193070826317816,20.538589862782388,-0.10689736343842172,must be computed using only data available at or before window_end
dhw_supply_temperature_gap__last__roll24h_mean,causal_temporal,5.0,0.0,0.0,814,-50.425000000000004,0.5499999999999972,31.365000000000002,-0.14581605433037756,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll3d_slope,causal_temporal,5.0,0.0,0.0550381033022862,2224,-26.000000000000007,0.004831973581974786,5.138888888888879,-0.10300393027610814,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__mean__roll7d_slope,causal_temporal,5.0,0.0,0.07154953429297206,2085,-10.012499999999996,1.7070788519799085e-15,16.08194444444445,0.007625834428812297,must be computed using only data available at or before window_end
p_hc1_return_temperature__mean,sensor_window_stat,5.0,0.0,0.0,2231,11.04888888888889,43.880916666666664,66.59722222222223,0.0292782420114414,must be computed using only data available at or before window_end
p_net_meter_heat_power__last,sensor_window_stat,5.0,0.0,0.02540220152413209,1251,0.0,150.75,313800.0,0.14850053285580656,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__mean,sensor_window_stat,5.0,0.0,0.0,1418,7.949999999999999,58.16111111111111,69.57499999999999,-0.20080362221880982,must be computed using only data available at or before window_end
s_hc1_supply_temperature__max,sensor_window_stat,5.0,0.0,0.0,830,13.87,66.2,112.9,0.0657782469508125,must be computed using only data available at or before window_end
dow_cos,time_calendar,5.0,0.0,0.0,7,-0.9009688679024191,-0.2225209339563143,1.0,0.08198378033358542,must be computed using only data available at or before window_end
iforest_score_ratio,anomaly_derived,4.0,0.0,0.0,2362,0.6688350542077116,0.792796490825234,1.1394558228036895,0.20716307837972908,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll3d_delta,causal_temporal,4.0,0.0,0.5749364944961897,699,-48.550000000000004,0.0,45.050000000000004,0.02161644995993944,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll3d_slope,causal_temporal,4.0,0.0,0.05376799322607959,2229,-22.94999999999998,0.0,23.075,-0.021976232122827326,must be computed using only data available at or before window_end
outdoor_temperature__std__roll7d_slope,causal_temporal,4.0,0.0,0.0558848433530906,2231,-2.243744428678278,6.520808377531952e-05,6.687621449587722,-0.008390528382840396,must be computed using only data available at or before window_end
p_net_meter_heat_power__mean__roll7d_slope,causal_temporal,4.0,0.0,0.0563082133784928,2229,-49088.888888888876,0.042367919389978206,29033.333333333314,-0.05392759015690099,must be computed using only data available at or before window_end
p_net_return_temperature__mean__roll7d_slope,causal_temporal,4.0,0.0,0.0550381033022862,2231,-15.858333333333334,0.0,10.52777777777776,-0.10967535329322779,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll24h_delta,causal_temporal,4.0,0.0,0.21464860287891618,1218,-38.25,0.0,44.27777777777777,0.0005128719813912089,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll7d_slope,causal_temporal,4.0,0.0,0.0550381033022862,2229,-26.000000000000007,0.002854090354088029,5.138888888888879,-0.11167649929850501,must be computed using only data available at or before window_end
