feature,gain_importance,split_importance,feature_family,gain_rank,split_rank,train_permutation_mean,train_permutation_std,validation_permutation_mean,validation_permutation_std,holdout_permutation_mean,holdout_permutation_std,train_holdout_gap,validation_holdout_gap,drift_flag
p_net_meter_heat_power__max,849.6664119958878,27,sensor_numeric,9,18,0.00785974872633497,0.0024841178415310017,0.002272629461043063,0.003241015617010066,0.007135241656561192,0.008053088723562089,0.0007245070697737771,-0.004862612195518129,
day_of_year,1505.556401848793,123,time_context,4,4,0.05759938035741391,0.006645675600647114,0.03468877532194693,0.00613781239191562,0.005789339450238229,0.02625438334100865,0.05181004090717568,0.028899435871708703,large_drop_on_holdout
s_hc1_supply_temperature__max,288.66067439317703,31,sensor_numeric,22,15,0.0012809586722299481,0.0009642925133391972,-0.001611165588660135,0.0038303367704350124,0.0049248539923831495,0.004369938893204864,-0.003643895320153201,-0.006536019581043284,
s_dhw_control_unit_mode__dominant__is__standby,85.51635813713074,17,derived_one_hot,50,32,0.0029529617602452986,0.002219390715488887,0.006136262260997905,0.002254783024549775,0.0046202976678776765,0.004135821374286013,-0.001667335907632378,0.0015159645931202281,
s_dhw_lower_storage_temperature__first,136.86185282468796,17,sensor_numeric,38,32,0.0037297139654131175,0.0008557410475537242,0.00026658074294185765,0.003761084546879027,0.00455055874552025,0.0036152825004316744,-0.0008208447801071328,-0.004283978002578392,
s_dhw_control_unit_mode__dominant__is__missing,28.99554944038391,7,derived_one_hot,76,62,0.006897845753580401,0.001461848512511669,0.003480947134299994,0.0016866053398617322,0.004277121278733054,0.008962893369209605,0.002620724474847347,-0.0007961741444330599,
p_hc1_return_temperature__std,168.58435571193695,20,sensor_numeric,33,29,0.0028063694130947337,0.0012160696490283274,0.0005307541471755162,0.002926056344258269,0.003982856455752826,0.0036444142214583676,-0.0011764870426580923,-0.00345210230857731,
s_dhw_lower_storage_temperature__last,157.31230664253235,20,sensor_numeric,35,29,0.0012985660168572722,0.0009567875222485813,0.0026491225564025276,0.0030685941981717095,0.0039426117165349776,0.010702558896722296,-0.0026440456996777053,-0.00129348916013245,
p_net_return_temperature__mean,312.8632299900055,17,sensor_numeric,21,32,7.184596802600752e-07,0.0008747085063046521,-0.004674409157167769,0.0012657544984582495,0.0036849177556429412,0.006919901432442867,-0.003684199295962681,-0.008359326912810711,
manufacturer__is__manufacturer_1,66.65180206298828,2,derived_one_hot,55,90,0.0013334460946404004,0.0006520602499021499,0.00621891768353664,0.0020990846504079373,0.003149298366689707,0.001997209459013469,-0.0018158522720493064,0.003069619316846933,
s_hc1_heating_pump_status_setpoint__dominant__is__ein,63.09024167060852,4,derived_one_hot,57,78,0.0006063974935570093,0.0006063974935570093,0.006486805689067232,0.0021502650038475843,0.003149298366689707,0.001997209459013469,-0.0025429008731326975,0.0033375073223775253,
