feature,gain_importance,split_importance,feature_family,gain_rank,split_rank,train_permutation_mean,train_permutation_std,validation_permutation_mean,validation_permutation_std,holdout_permutation_mean,holdout_permutation_std,train_holdout_gap,validation_holdout_gap,drift_flag
s_dhw_supply_temperature_setpoint__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
day_of_week,0.0,0,time_context,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hour_of_day,0.0,0,time_context,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
is_weekend,0.0,0,time_context,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
disturbance_count,0.0,0,context,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maintenance_related,0.0,0,context,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_supply_temperature__mean,391.86498683691025,16,sensor_numeric,19,35,-0.00010470673669633612,0.0006903033319136343,0.001088005615512877,0.0013325292976446453,-0.00029889304976910003,0.005701075564812663,0.0001941863130727639,0.001386898665281977,
s_dhw_supply_temperature_setpoint__max,47.7510986328125,1,sensor_numeric,67,99,0.0,0.0,0.0,0.0,-0.0006635802469135754,0.001990740740740726,0.0006635802469135754,0.0006635802469135754,
s_dhw_supply_temperature__last,12.605840623378754,5,sensor_numeric,89,72,0.0,0.0,0.0005440028077564385,0.001088005615512877,-0.000954968944099377,0.0028649068322981306,0.000954968944099377,0.0014989717518558154,
p_net_return_temperature__std,85.52343735098839,11,sensor_numeric,49,46,0.0008489564909798131,0.0005557724830912984,-0.001039544819486904,0.0016841064806941701,-0.001458084547408639,0.00195953284561116,0.0023070410383884523,0.00041853972792173493,
network_temperature_gap__max_abs,230.16646945476532,13,sensor_numeric,26,41,0.0,0.0,-0.001965429498990945,0.0024071496989708997,-0.0017452830188679157,0.0014250176176568733,0.0017452830188679157,-0.00022014648012302906,
p_net_supply_temperature__min,55.422816850245,15,sensor_numeric,59,36,0.0015236747701799392,0.0004165312093628248,-0.00357380116000805,0.002150230422686523,-0.001861088588325893,0.005057617865974165,0.0033847633585058325,-0.0017127125716821568,
p_net_meter_energy__delta,110.65729862451553,11,sensor_numeric,42,46,-0.00024318984006890254,0.00048637968013780507,0.0051473656614142715,0.001449463290553191,-0.0022862510543669836,0.004270946147872832,0.002043061214298081,0.007433616715781255,
season_bucket__is__winter,47.330111145973206,13,derived_one_hot,68,41,0.0019423754276373883,0.0016672219242260203,-0.0038500114362183258,0.002202278085305152,-0.0023344080885279728,0.0021885768377790864,0.0042767835161653615,-0.001515603347690353,
dow_cos,2.8561580181121826,2,cyclic_time,105,90,0.0,0.0,0.0,0.0,-0.002864906832298131,0.004376217472667447,0.002864906832298131,0.002864906832298131,
p_net_supply_temperature__max,394.44640278816223,39,sensor_numeric,18,13,0.01715752529802995,0.0017717966517385528,-0.0012020318916870609,0.0038336853311602896,-0.0029423088840667523,0.005781244931315214,0.020099834182096703,0.0017402769923796915,train_only_signal
s_hc1_supply_temperature_setpoint__min,121.31768351793289,20,sensor_numeric,39,29,0.0007448805969295757,0.0006102167122418513,-0.002077826497600721,0.003305876587820191,-0.0032299611351314763,0.005865167648054955,0.003974841732061052,0.0011521346375307552,
s_hc1_supply_temperature__min,723.3279594779015,45,sensor_numeric,13,12,0.0026830874069987743,0.0019534987052728897,-0.00011365526397997261,0.003994537372585994,-0.004274302336067293,0.0070412128810278555,0.006957389743066067,0.0041606470720873204,
p_net_meter_flow__max,817.8298362493515,30,sensor_numeric,10,17,0.0001234125426791799,0.0016622314401166162,0.0036733783530773167,0.0034493885640833246,-0.004364887907117027,0.004002786684556939,0.004488300449796207,0.008038266260194344,
s_dhw_lower_storage_temperature__mean,216.63525250554085,11,sensor_numeric,28,46,0.002777618608446253,0.00215658425099981,-0.005857076136096895,0.002043269432892127,-0.004533155343482498,0.0020307854315244757,0.007310773951928751,-0.001323920792614397,
p_net_meter_flow__last,94.41040873527527,11,sensor_numeric,47,46,0.0011607836003856952,0.0014742482751137081,0.0034298416829321664,0.0017502647197692167,-0.004621108838900201,0.0013189265803856848,0.005781892439285896,0.008050950521832367,
s_hc1_supply_temperature__std,9.800171077251434,6,sensor_numeric,93,65,-0.0008287432411946183,0.0006766660229023676,0.0,0.0,-0.004774844720496885,0.004774844720496884,0.003946101479302267,0.004774844720496885,
p_net_meter_flow__first,41.022129356861115,10,sensor_numeric,71,54,0.000969381723607965,0.00063460930367718,-0.0013725609303392838,0.001834002793936872,-0.004940572042021285,0.004083163301042077,0.00590995376562925,0.0035680111116820007,
p_net_meter_flow__std,257.87645548582077,31,sensor_numeric,24,15,0.00038104210079537015,0.0005837439102656221,0.015092568219706958,0.0021339763598562165,-0.005199783441896694,0.006791825422598107,0.005580825542692064,0.020292351661603654,
p_net_meter_energy__std,36.09578025341034,9,sensor_numeric,73,56,0.0006060832979644992,0.0008128652903754264,-0.0038478948823776338,0.0018277101144650117,-0.0052002519629672835,0.004289956222408179,0.005806335260931782,0.0013523570805896497,
outdoor_temperature__mean,37.671949207782745,4,sensor_numeric,72,78,-0.0005524954941297455,0.0006766660229023676,0.0,0.0,-0.005523349436392888,0.004472876529805568,0.004970853942263142,0.005523349436392888,
p_net_return_temperature__last,212.02546310424805,6,sensor_numeric,29,65,0.0004158085399578293,0.0008859955413443455,-0.005169546204028952,0.0024719911080491467,-0.005865687546682996,0.0022962229197027134,0.006281496086640826,0.000696141342654044,
p_net_meter_heat_power__std,54.54270029067993,5,sensor_numeric,61,72,-0.0005524954941297455,0.0006766660229023676,0.0,0.0,-0.006684782608695638,0.004376217472667447,0.0061322871145658925,0.006684782608695638,
network_temperature_gap__last,194.44903934001923,23,sensor_numeric,30,22,0.0028065240459583807,0.0009135956046911216,0.0003233885715167251,0.0018285936440205466,-0.007412584970437408,0.004326083459248665,0.010219109016395788,0.007735973541954134,
s_dhw_upper_storage_temperature__mean,514.4059556126595,21,sensor_numeric,16,26,-0.0005478364842807504,0.0008750975945603806,0.006934494749119791,0.005235407468525209,-0.007826520217553451,0.003721485035136689,0.007278683733272701,0.01476101496667324,
p_net_supply_temperature__mean,746.0695498585701,56,sensor_numeric,12,9,0.010916733008168977,0.0034727927631154716,0.0034525427360139194,0.0040888770321645205,-0.008462293448962821,0.005897988115187204,0.0193790264571318,0.01191483618497674,train_only_signal
p_net_meter_heat_power__first,12.696670055389404,4,sensor_numeric,88,78,0.0,0.0,0.0,0.0,-0.008594720496894392,0.0028649068322981306,0.008594720496894392,0.008594720496894392,
s_hc1_supply_temperature_setpoint__first,8.685290098190308,4,sensor_numeric,94,78,0.0,0.0,0.0,0.0,-0.008594720496894392,0.002864906832298131,0.008594720496894392,0.008594720496894392,
p_net_supply_temperature__first,162.03890357911587,8,sensor_numeric,34,58,0.0013848310337256642,0.0,-0.0012020707203649894,0.002556919183691193,-0.008966912046622167,0.001165554788743206,0.010351743080347831,0.007764841326257177,
p_net_meter_heat_power__last,5.9675209522247314,4,sensor_numeric,99,78,0.0,0.0,0.0,0.0,-0.00954968944099377,0.0,0.00954968944099377,0.00954968944099377,
s_dhw_supply_temperature_setpoint__std,3.7191179990768433,2,sensor_numeric,102,90,0.0,0.0,0.0,0.0,-0.00954968944099377,0.0,0.00954968944099377,0.00954968944099377,
