tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,split,iforest_ratio_threshold,mahalanobis_ratio_threshold
71,11,147,671,0.8658536585365854,0.3256880733944954,0.47333333333333333,0.016129032258064516,21,11,0.5238095238095238,train,0.85,0.85
3,59,23,84,0.04838709677419355,0.11538461538461539,0.06818181818181818,0.4125874125874126,3,1,0.3333333333333333,validation,0.85,0.85
42,20,35,86,0.6774193548387096,0.5454545454545454,0.60431654676259,0.18867924528301888,8,6,0.75,holdout,0.85,0.9
69,10,149,672,0.8734177215189873,0.3165137614678899,0.4646464646464646,0.01466275659824047,21,11,0.5238095238095238,train,0.85,0.9
3,59,23,84,0.04838709677419355,0.11538461538461539,0.06818181818181818,0.4125874125874126,3,1,0.3333333333333333,validation,0.85,0.9
42,19,35,87,0.6885245901639344,0.5454545454545454,0.6086956521739131,0.1792452830188679,8,6,0.75,holdout,0.85,0.95
65,7,153,675,0.9027777777777778,0.2981651376146789,0.4482758620689655,0.010263929618768328,21,10,0.47619047619047616,train,0.85,0.95
3,58,23,85,0.04918032786885246,0.11538461538461539,0.06896551724137931,0.40559440559440557,3,1,0.3333333333333333,validation,0.85,0.95
41,19,36,87,0.6833333333333333,0.5324675324675324,0.5985401459854014,0.1792452830188679,8,6,0.75,holdout,0.85,1.0
64,5,154,677,0.927536231884058,0.29357798165137616,0.445993031358885,0.007331378299120235,21,10,0.47619047619047616,train,0.85,1.0
3,56,23,87,0.05084745762711865,0.11538461538461539,0.07058823529411766,0.3916083916083916,3,1,0.3333333333333333,validation,0.85,1.0
41,18,36,88,0.6949152542372882,0.5324675324675324,0.6029411764705882,0.16981132075471697,8,6,0.75,holdout,0.85,1.05
64,5,154,677,0.927536231884058,0.29357798165137616,0.445993031358885,0.007331378299120235,21,10,0.47619047619047616,train,0.85,1.05
3,56,23,87,0.05084745762711865,0.11538461538461539,0.07058823529411766,0.3916083916083916,3,1,0.3333333333333333,validation,0.85,1.05
41,18,36,88,0.6949152542372882,0.5324675324675324,0.6029411764705882,0.16981132075471697,8,6,0.75,holdout,0.85,1.1
63,3,155,679,0.9545454545454546,0.2889908256880734,0.44366197183098594,0.004398826979472141,21,9,0.42857142857142855,train,0.85,1.1
3,56,23,87,0.05084745762711865,0.11538461538461539,0.07058823529411766,0.3916083916083916,3,1,0.3333333333333333,validation,0.85,1.1
38,17,39,89,0.6909090909090909,0.4935064935064935,0.5757575757575758,0.16037735849056603,8,6,0.75,holdout,0.85,1.15
62,3,156,679,0.9538461538461539,0.28440366972477066,0.4381625441696113,0.004398826979472141,21,9,0.42857142857142855,train,0.85,1.15
3,56,23,87,0.05084745762711865,0.11538461538461539,0.07058823529411766,0.3916083916083916,3,1,0.3333333333333333,validation,0.85,1.15
38,17,39,89,0.6909090909090909,0.4935064935064935,0.5757575757575758,0.16037735849056603,8,6,0.75,holdout,0.85,1.2
61,3,157,679,0.953125,0.2798165137614679,0.4326241134751773,0.004398826979472141,21,9,0.42857142857142855,train,0.85,1.2
3,54,23,89,0.05263157894736842,0.11538461538461539,0.07228915662650602,0.3776223776223776,3,1,0.3333333333333333,validation,0.85,1.2
38,17,39,89,0.6909090909090909,0.4935064935064935,0.5757575757575758,0.16037735849056603,8,6,0.75,holdout,0.85,1.25
59,3,159,679,0.9516129032258065,0.2706422018348624,0.4214285714285714,0.004398826979472141,21,8,0.38095238095238093,train,0.85,1.25
3,48,23,95,0.058823529411764705,0.11538461538461539,0.07792207792207793,0.3356643356643357,3,1,0.3333333333333333,validation,0.85,1.25
37,17,40,89,0.6851851851851852,0.4805194805194805,0.5648854961832062,0.16037735849056603,8,6,0.75,holdout,0.85,1.3
58,2,160,680,0.9666666666666667,0.26605504587155965,0.41726618705035967,0.002932551319648094,21,8,0.38095238095238093,train,0.85,1.3
3,34,23,109,0.08108108108108109,0.11538461538461539,0.09523809523809523,0.23776223776223776,3,1,0.3333333333333333,validation,0.85,1.3
38,8,39,98,0.8260869565217391,0.4935064935064935,0.6178861788617886,0.07547169811320754,8,6,0.75,holdout,0.9,0.8
47,11,171,671,0.8103448275862069,0.21559633027522937,0.34057971014492755,0.016129032258064516,21,10,0.47619047619047616,train,0.9,0.8
3,48,23,95,0.058823529411764705,0.11538461538461539,0.07792207792207793,0.3356643356643357,3,1,0.3333333333333333,validation,0.9,0.8
38,8,39,98,0.8260869565217391,0.4935064935064935,0.6178861788617886,0.07547169811320754,8,6,0.75,holdout,0.9,0.85
46,10,172,672,0.8214285714285714,0.21100917431192662,0.3357664233576642,0.01466275659824047,21,10,0.47619047619047616,train,0.9,0.85
3,48,23,95,0.058823529411764705,0.11538461538461539,0.07792207792207793,0.3356643356643357,3,1,0.3333333333333333,validation,0.9,0.85
38,8,39,98,0.8260869565217391,0.4935064935064935,0.6178861788617886,0.07547169811320754,8,6,0.75,holdout,0.9,0.9
44,9,174,673,0.8301886792452831,0.2018348623853211,0.32472324723247237,0.013196480938416423,21,10,0.47619047619047616,train,0.9,0.9
3,48,23,95,0.058823529411764705,0.11538461538461539,0.07792207792207793,0.3356643356643357,3,1,0.3333333333333333,validation,0.9,0.9
38,8,39,98,0.8260869565217391,0.4935064935064935,0.6178861788617886,0.07547169811320754,8,6,0.75,holdout,0.9,0.95
40,6,178,676,0.8695652173913043,0.1834862385321101,0.303030303030303,0.008797653958944282,21,9,0.42857142857142855,train,0.9,0.95
3,48,23,95,0.058823529411764705,0.11538461538461539,0.07792207792207793,0.3356643356643357,3,1,0.3333333333333333,validation,0.9,0.95
38,8,39,98,0.8260869565217391,0.4935064935064935,0.6178861788617886,0.07547169811320754,8,6,0.75,holdout,0.9,1.0
39,4,179,678,0.9069767441860465,0.17889908256880735,0.2988505747126437,0.005865102639296188,21,9,0.42857142857142855,train,0.9,1.0
3,47,23,96,0.06,0.11538461538461539,0.07894736842105263,0.32867132867132864,3,1,0.3333333333333333,validation,0.9,1.0
38,8,39,98,0.8260869565217391,0.4935064935064935,0.6178861788617886,0.07547169811320754,8,6,0.75,holdout,0.9,1.05
