gate,probability_column,target_definition,threshold,split,tp,fp,fn,tn,precision,recall,f1,false_positive_rate,balanced_accuracy,positive_rate,target_positive_count,native_label_available
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.55,train,101,311,94,371,0.245145631068,0.517948717949,0.332784184514,0.456011730205,0.530968493872,0.469783352338,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.55,validation,18,80,5,63,0.183673469388,0.782608695652,0.297520661157,0.559440559441,0.611584068106,0.590361445783,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.6,holdout,38,42,39,64,0.475,0.493506493506,0.484076433121,0.396226415094,0.548640039206,0.437158469945,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.6,train,83,241,112,441,0.256172839506,0.425641025641,0.319845857418,0.353372434018,0.536134295812,0.369441277081,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.6,validation,16,74,7,69,0.177777777778,0.695652173913,0.283185840708,0.517482517483,0.589084828215,0.542168674699,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.65,holdout,32,32,45,74,0.5,0.415584415584,0.45390070922,0.301886792453,0.556848811566,0.349726775956,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.65,train,68,165,127,517,0.291845493562,0.348717948718,0.317757009346,0.241935483871,0.553391232423,0.265678449259,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.65,validation,13,53,10,90,0.19696969697,0.565217391304,0.292134831461,0.370629370629,0.597294010337,0.397590361446,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.7,holdout,24,23,53,83,0.510638297872,0.311688311688,0.387096774194,0.216981132075,0.547353589806,0.256830601093,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.7,train,48,95,147,587,0.335664335664,0.246153846154,0.284023668639,0.139296187683,0.553428829235,0.163055872292,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.7,validation,10,37,13,106,0.212765957447,0.434782608696,0.285714285714,0.258741258741,0.588020674977,0.28313253012,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.75,holdout,15,19,62,87,0.441176470588,0.194805194805,0.27027027027,0.179245283019,0.507779955893,0.185792349727,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.75,train,24,52,171,630,0.315789473684,0.123076923077,0.177121771218,0.0762463343109,0.523415294383,0.0866590649943,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.75,validation,9,26,14,117,0.257142857143,0.391304347826,0.310344827586,0.181818181818,0.604743083004,0.210843373494,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.8,holdout,10,12,67,94,0.454545454545,0.12987012987,0.20202020202,0.11320754717,0.50833129135,0.120218579235,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.8,train,11,26,184,656,0.297297297297,0.0564102564103,0.0948275862069,0.0381231671554,0.509143544627,0.042189281642,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.8,validation,5,15,18,128,0.25,0.217391304348,0.232558139535,0.104895104895,0.556248099726,0.120481927711,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.3,holdout,58,54,19,52,0.517857142857,0.753246753247,0.613756613757,0.509433962264,0.621906395491,0.612021857923,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.3,train,137,424,58,258,0.244206773619,0.702564102564,0.362433862434,0.621700879765,0.540431611399,0.639680729761,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.3,validation,20,103,3,40,0.162601626016,0.869565217391,0.27397260274,0.72027972028,0.574642748556,0.740963855422,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.35,holdout,57,51,20,55,0.527777777778,0.74025974026,0.616216216216,0.481132075472,0.629563832394,0.590163934426,77,True
