tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,variant,split,high_threshold,urgent_threshold,w_pre_event,w_leadtime,w_group
7,12,16,131,0.368421052632,0.304347826087,0.333333333333,0.0839160839161,2,2,1,0.5,0.217391304348,0.35,0.304347826087,0.266666666667,0.347826086957,grid_0.05_0.95_0.00,validation,95,95,0.05,0.95,0
56,0,21,106,1,0.727272727273,0.842105263158,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.00_0.90,holdout,47.5,62.5,0.1,0,0.9
173,0,22,682,1,0.887179487179,0.940217391304,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.00_0.90,train,47.5,62.5,0.1,0,0.9
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.00_0.90,validation,47.5,62.5,0.1,0,0.9
54,0,23,106,1,0.701298701299,0.824427480916,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.05_0.85,holdout,50,65,0.1,0.05,0.85
171,0,24,682,1,0.876923076923,0.934426229508,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.05_0.85,train,50,65,0.1,0.05,0.85
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.05_0.85,validation,50,65,0.1,0.05,0.85
57,0,20,106,1,0.74025974026,0.850746268657,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.10_0.80,holdout,50,65,0.1,0.1,0.8
174,0,21,682,1,0.892307692308,0.943089430894,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.10_0.80,train,50,65,0.1,0.1,0.8
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.10_0.80,validation,50,65,0.1,0.1,0.8
54,0,23,106,1,0.701298701299,0.824427480916,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.15_0.75,holdout,52.5,67.5,0.1,0.15,0.75
170,0,25,682,1,0.871794871795,0.931506849315,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.15_0.75,train,52.5,67.5,0.1,0.15,0.75
