tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,current_best_weight,m1_specialist_weight,split,high_threshold,urgent_threshold,operating_score
85,80,110,602,0.5151515151515151,0.4358974358974359,0.4722222222222222,0.11730205278592376,18,16,0.8888888888888888,0.14,0.86,train,70.0,85.0,0.5913489736070381
13,23,10,120,0.3611111111111111,0.5652173913043478,0.44067796610169496,0.16083916083916083,2,2,1.0,0.14,0.86,validation,70.0,85.0,0.5602583856821146
38,24,39,82,0.6129032258064516,0.4935064935064935,0.5467625899280575,0.22641509433962265,8,7,0.875,0.15,0.85,holdout,70.0,85.0,0.6085550427582462
85,74,110,608,0.5345911949685535,0.4358974358974359,0.480225988700565,0.10850439882697947,18,16,0.8888888888888888,0.15,0.85,train,70.0,85.0,0.6037515670648531
13,23,10,120,0.3611111111111111,0.5652173913043478,0.44067796610169496,0.16083916083916083,2,2,1.0,0.15,0.85,validation,70.0,85.0,0.5602583856821146
35,16,42,90,0.6862745098039216,0.45454545454545453,0.546875,0.1509433962264151,8,7,0.875,0.16,0.84,holdout,72.5,87.5,0.6464033018867925
73,39,122,643,0.6517857142857143,0.37435897435897436,0.47557003257328984,0.05718475073313783,18,15,0.8333333333333334,0.16,0.84,train,72.5,87.5,0.6136443238733876
13,9,10,134,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.06293706293706294,2,2,1.0,0.16,0.84,validation,72.5,87.5,0.7463092463092464
35,14,42,92,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.1320754716981132,8,7,0.875,0.17,0.83,holdout,72.5,87.5,0.664517819706499
75,30,120,652,0.7142857142857143,0.38461538461538464,0.5,0.04398826979472141,18,15,0.8333333333333334,0.17,0.83,train,72.5,87.5,0.6446725317693061
13,9,10,134,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.06293706293706294,2,2,1.0,0.17,0.83,validation,72.5,87.5,0.7463092463092464
35,14,42,92,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.1320754716981132,8,7,0.875,0.18,0.8200000000000001,holdout,72.5,87.5,0.664517819706499
76,24,119,658,0.76,0.38974358974358975,0.5152542372881357,0.03519061583577713,18,15,0.8333333333333334,0.18,0.8200000000000001,train,72.5,87.5,0.6643255960369139
13,8,10,135,0.6190476190476191,0.5652173913043478,0.5909090909090909,0.055944055944055944,2,2,1.0,0.18,0.8200000000000001,validation,72.5,87.5,0.762937062937063
35,14,42,92,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.1320754716981132,8,7,0.875,0.19,0.81,holdout,72.5,87.5,0.664517819706499
76,13,119,669,0.8539325842696629,0.38974358974358975,0.5352112676056339,0.01906158357771261,18,15,0.8333333333333334,0.19,0.81,train,72.5,87.5,0.6923471424834442
13,7,10,136,0.65,0.5652173913043478,0.6046511627906976,0.04895104895104895,2,2,1.0,0.19,0.81,validation,72.5,87.5,0.7801756383151731
35,13,42,93,0.7291666666666666,0.45454545454545453,0.56,0.12264150943396226,8,7,0.875,0.2,0.8,holdout,72.5,87.5,0.6736792452830189
77,4,118,678,0.9506172839506173,0.39487179487179486,0.5579710144927537,0.005865102639296188,18,15,0.8333333333333334,0.2,0.8,train,72.5,87.5,0.7217051298397723
13,7,10,136,0.65,0.5652173913043478,0.6046511627906976,0.04895104895104895,2,2,1.0,0.2,0.8,validation,72.5,87.5,0.7801756383151731
34,13,43,93,0.723404255319149,0.44155844155844154,0.5483870967741935,0.12264150943396226,8,7,0.875,0.21,0.79,holdout,72.5,87.5,0.6620663420572124
78,1,117,681,0.9873417721518988,0.4,0.5693430656934307,0.001466275659824047,18,15,0.8333333333333334,0.21,0.79,train,72.5,87.5,0.7352765945301853
13,6,10,137,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.04195804195804196,2,2,1.0,0.21,0.79,validation,72.5,87.5,0.7980685980685981
34,11,43,95,0.7555555555555555,0.44155844155844154,0.5573770491803278,0.10377358490566038,8,7,0.875,0.22,0.78,holdout,72.5,87.5,0.6804902567274976
78,0,117,682,1.0,0.4,0.5714285714285715,0.0,18,15,0.8333333333333334,0.22,0.78,train,72.5,87.5,0.7380952380952381
13,6,10,137,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.04195804195804196,2,2,1.0,0.22,0.78,validation,72.5,87.5,0.7980685980685981
34,11,43,95,0.7555555555555555,0.44155844155844154,0.5573770491803278,0.10377358490566038,8,7,0.875,0.23,0.77,holdout,72.5,87.5,0.6804902567274976
78,0,117,682,1.0,0.4,0.5714285714285715,0.0,18,15,0.8333333333333334,0.23,0.77,train,72.5,87.5,0.7380952380952381
13,6,10,137,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.04195804195804196,2,2,1.0,0.23,0.77,validation,72.5,87.5,0.7980685980685981
34,10,43,96,0.7727272727272727,0.44155844155844154,0.5619834710743802,0.09433962264150944,8,7,0.875,0.24,0.76,holdout,72.5,87.5,0.6898136597536255
79,0,116,682,1.0,0.40512820512820513,0.5766423357664234,0.0,18,15,0.8333333333333334,0.24,0.76,train,72.5,87.5,0.7433090024330902
13,6,10,137,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.04195804195804196,2,2,1.0,0.24,0.76,validation,72.5,87.5,0.7980685980685981
48,26,29,80,0.6486486486486487,0.6233766233766234,0.6357615894039735,0.24528301886792453,8,7,0.875,0.25,0.75,holdout,65.0,80.0,0.6881200799700113
111,65,84,617,0.6306818181818182,0.5692307692307692,0.5983827493261455,0.09530791788856305,18,18,1.0,0.25,0.75,train,65.0,80.0,0.750728790381864
14,28,9,115,0.3333333333333333,0.6086956521739131,0.4307692307692308,0.1958041958041958,2,2,1.0,0.25,0.75,validation,65.0,80.0,0.5328671328671328
48,26,29,80,0.6486486486486487,0.6233766233766234,0.6357615894039735,0.24528301886792453,8,7,0.875,0.26,0.74,holdout,65.0,80.0,0.6881200799700113
110,57,85,625,0.6586826347305389,0.5641025641025641,0.6077348066298343,0.08357771260997067,18,18,1.0,0.26,0.74,train,65.0,80.0,0.7659459503248489
14,27,9,116,0.34146341463414637,0.6086956521739131,0.4375,0.1888111888111888,2,2,1.0,0.26,0.74,validation,65.0,80.0,0.5430944055944056
49,26,28,80,0.6533333333333333,0.6363636363636364,0.6447368421052633,0.24528301886792453,8,7,0.875,0.27,0.73,holdout,65.0,80.0,0.6970953326713011
110,48,85,634,0.6962025316455697,0.5641025641025641,0.6232294617563741,0.07038123167155426,18,18,1.0,0.27,0.73,train,65.0,80.0,0.7880388459205969
14,25,9,118,0.358974358974359,0.6086956521739131,0.45161290322580644,0.17482517482517482,2,2,1.0,0.27,0.73,validation,65.0,80.0,0.564200315813219
49,26,28,80,0.6533333333333333,0.6363636363636364,0.6447368421052633,0.24528301886792453,8,7,0.875,0.28,0.72,holdout,65.0,80.0,0.6970953326713011
112,39,83,643,0.7417218543046358,0.5743589743589743,0.6473988439306358,0.05718475073313783,18,18,1.0,0.28,0.72,train,65.0,80.0,0.818806468564067
14,23,9,120,0.3783783783783784,0.6086956521739131,0.4666666666666667,0.16083916083916083,2,2,1.0,0.28,0.72,validation,65.0,80.0,0.5862470862470863
49,23,28,83,0.6805555555555556,0.6363636363636364,0.6577181208053691,0.2169811320754717,8,7,0.875,0.29,0.71,holdout,65.0,80.0,0.7242275547676332
112,30,83,652,0.7887323943661971,0.5743589743589743,0.6646884272997031,0.04398826979472141,18,18,1.0,0.29,0.71,train,65.0,80.0,0.8426942924023424
15,22,8,121,0.40540540540540543,0.6521739130434783,0.5,0.15384615384615385,2,2,1.0,0.29,0.71,validation,65.0,80.0,0.6230769230769231
49,22,28,84,0.6901408450704225,0.6363636363636364,0.6621621621621622,0.20754716981132076,8,7,0.875,0.3,0.7,holdout,65.0,80.0,0.7333885772565019
