candidate_id,split,n_estimators,max_samples,max_features,bootstrap,threshold_quantile,threshold_value,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
70,holdout,300,0.5,0.5,True,0.9,0.4990867195276164,0.7099357589375737,0.6901089871865678,0.925,0.2781954887218045,0.4277456647398844,0.011494252873563218,40,37,3,133,394
71,validation,800,1.0,0.9,False,0.85,0.4620719522987324,0.6522460836186327,0.4490088253139894,0.4642857142857143,0.2184873949579832,0.29714285714285715,0.12345679012345678,56,26,30,119,362
71,holdout,800,1.0,0.9,False,0.85,0.4620719522987324,0.7014663094517903,0.6728400464675853,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.08045977011494253,77,56,21,133,394
72,validation,300,0.65,1.0,False,0.85,0.46556999691866013,0.6591970121381886,0.4790260584439052,0.46875,0.12605042016806722,0.1986754966887417,0.06995884773662552,32,15,17,119,362
72,holdout,300,0.65,1.0,False,0.85,0.46556999691866013,0.7081496845562182,0.6814497149358948,0.85,0.38345864661654133,0.5284974093264249,0.034482758620689655,60,51,9,133,394
73,validation,800,1.0,1.0,True,0.99,0.553339476058784,0.6376871736348859,0.4761958298636637,0.0,0.0,0.0,0.0,0,0,0,119,362
73,holdout,800,1.0,1.0,True,0.99,0.553339476058784,0.7127589087661683,0.6701005924597755,1.0,0.15037593984962405,0.26143790849673204,0.0,20,20,0,133,394
74,validation,800,0.8,1.0,True,0.95,0.5172246668701437,0.6181139122315593,0.43410753082847875,1.0,0.008403361344537815,0.016666666666666666,0.0,1,1,0,119,362
74,holdout,800,0.8,1.0,True,0.95,0.5172246668701437,0.7132198311871633,0.674788415370225,1.0,0.18796992481203006,0.31645569620253167,0.0,25,25,0,133,394
75,validation,200,0.65,0.5,False,0.99,0.5265774235702755,0.6132378877476916,0.44101848455880377,0.0,0.0,0.0,0.0,0,0,0,119,362
75,holdout,200,0.65,0.5,False,0.99,0.5265774235702755,0.7123844092991098,0.6975397716912651,1.0,0.15037593984962405,0.26143790849673204,0.0,20,20,0,133,394
76,validation,800,0.65,1.0,False,0.88,0.47305527422356525,0.6401424767437839,0.46436358200097494,0.6190476190476191,0.1092436974789916,0.18571428571428572,0.03292181069958848,21,13,8,119,362
76,holdout,800,0.65,1.0,False,0.88,0.47305527422356525,0.7157837121539481,0.6898158174061939,0.8958333333333334,0.3233082706766917,0.47513812154696133,0.019157088122605363,48,43,5,133,394
77,validation,800,0.8,0.75,True,0.98,0.5390532373959745,0.6360618321402635,0.45522837321167386,0.0,0.0,0.0,0.0,0,0,0,119,362
77,holdout,800,0.8,0.75,True,0.98,0.5390532373959745,0.7118370639241782,0.6886779111470758,1.0,0.16541353383458646,0.2838709677419355,0.0,22,22,0,133,394
78,validation,300,auto,0.5,False,0.85,0.4779163611555274,0.5934225542068678,0.4159919670878639,0.5,0.09243697478991597,0.15602836879432624,0.04526748971193416,22,11,11,119,362
78,holdout,300,auto,0.5,False,0.85,0.4779163611555274,0.7088698758390228,0.664677133013379,0.78,0.2932330827067669,0.4262295081967213,0.0421455938697318,50,39,11,133,394
79,validation,800,auto,0.9,False,0.88,0.48434826995143687,0.6191513642494034,0.4203650835523203,0.8,0.03361344537815126,0.06451612903225806,0.00411522633744856,5,4,1,119,362
79,holdout,800,auto,0.9,False,0.88,0.48434826995143687,0.7079768386483449,0.6778347094135004,0.918918918918919,0.2556390977443609,0.4,0.011494252873563218,37,34,3,133,394
80,validation,200,1.0,0.9,True,0.98,0.5422575430419807,0.6831621537503889,0.5194130078733277,0.0,0.0,0.0,0.0,0,0,0,119,362
80,holdout,200,1.0,0.9,True,0.98,0.5422575430419807,0.6986143519718837,0.6581547290039431,1.0,0.17293233082706766,0.2948717948717949,0.0,23,23,0,133,394
81,validation,500,0.8,0.75,True,0.88,0.495661624493408,0.6058028149531417,0.39619650830596814,0.5,0.03361344537815126,0.06299212598425197,0.01646090534979424,8,4,4,119,362
81,holdout,500,0.8,0.75,True,0.88,0.495661624493408,0.7112321032466222,0.6852300577603527,0.9090909090909091,0.3007518796992481,0.4519774011299435,0.01532567049808429,44,40,4,133,394
82,validation,500,0.5,0.5,True,0.85,0.48706003392389574,0.5856416640730366,0.40742102358086696,0.5,0.10084033613445378,0.16783216783216784,0.04938271604938271,24,12,12,119,362
82,holdout,500,0.5,0.5,True,0.85,0.48706003392389574,0.7178002477458012,0.695817592890857,0.8545454545454545,0.3533834586466165,0.5,0.03065134099616858,55,47,8,133,394
83,validation,300,0.65,1.0,False,0.99,0.5319869096970575,0.6591970121381886,0.4790260584439052,0.0,0.0,0.0,0.0,0,0,0,119,362
83,holdout,300,0.65,1.0,False,0.99,0.5319869096970575,0.7081496845562182,0.6814497149358948,1.0,0.15789473684210525,0.2727272727272727,0.0,21,21,0,133,394
84,validation,800,0.8,0.9,True,0.88,0.49726334972838976,0.6394854237991493,0.45432234593806453,0.5384615384615384,0.058823529411764705,0.10606060606060606,0.024691358024691357,13,7,6,119,362
84,holdout,800,0.8,0.9,True,0.88,0.49726334972838976,0.6973756229654597,0.6663582503089082,0.8604651162790697,0.2781954887218045,0.42045454545454547,0.022988505747126436,43,37,6,133,394
85,validation,800,0.5,0.65,False,0.99,0.5296152514632226,0.6242002974029118,0.46575941906138524,0.0,0.0,0.0,0.0,0,0,0,119,362
85,holdout,800,0.5,0.65,False,0.99,0.5296152514632226,0.7081496845562181,0.6831140309136197,1.0,0.13533834586466165,0.23841059602649006,0.0,18,18,0,133,394
86,validation,300,0.5,0.75,False,0.88,0.4783339039479707,0.6376871736348861,0.49603354474267347,0.7878787878787878,0.2184873949579832,0.34210526315789475,0.02880658436213992,33,26,7,119,362
86,holdout,300,0.5,0.75,False,0.88,0.4783339039479707,0.7092443753060812,0.6838580630932144,0.8863636363636364,0.2932330827067669,0.4406779661016949,0.019157088122605363,44,39,5,133,394
87,validation,300,1.0,0.75,False,0.99,0.5209489315016663,0.6311858076563959,0.5241901202690362,0.0,0.0,0.0,0.0,0,0,0,119,362
87,holdout,300,1.0,0.75,False,0.99,0.5209489315016663,0.7218333189295076,0.6852646129221431,1.0,0.15789473684210525,0.2727272727272727,0.0,21,21,0,133,394
88,validation,200,0.5,0.9,False,0.9,0.48627493491692786,0.6442231213473043,0.4116778646342365,0.3333333333333333,0.01680672268907563,0.032,0.01646090534979424,6,2,4,119,362
88,holdout,200,0.5,0.9,False,0.9,0.48627493491692786,0.7152939820816409,0.69231754549351,0.8823529411764706,0.22556390977443608,0.3592814371257485,0.01532567049808429,34,30,4,133,394
89,validation,300,0.5,0.9,True,0.85,0.48585831285261344,0.6403153854134247,0.45058222226162237,0.4857142857142857,0.14285714285714285,0.22077922077922077,0.07407407407407407,35,17,18,119,362
89,holdout,300,0.5,0.9,True,0.85,0.48585831285261344,0.7102526431020079,0.6885378347877377,0.8245614035087719,0.3533834586466165,0.49473684210526314,0.038314176245210725,57,47,10,133,394
90,validation,300,1.0,0.65,False,0.9,0.4735482421280488,0.6323961683438807,0.4793148337168059,0.5714285714285714,0.13445378151260504,0.21768707482993196,0.04938271604938271,28,16,12,119,362
90,holdout,300,1.0,0.65,False,0.9,0.4735482421280488,0.7161870192723188,0.6972317028150073,0.8148148148148148,0.3308270676691729,0.47058823529411764,0.038314176245210725,54,44,10,133,394
91,validation,500,0.5,0.9,True,0.9,0.5015090329086611,0.6269322543832347,0.4390099816102546,0.75,0.025210084033613446,0.04878048780487805,0.00411522633744856,4,3,1,119,362
