model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
risk_lgbm,validation,49,100,0.03,31,3,30,0.8,0.8,0.1,1.0,balanced,0.7630876068376069,0.7505101028915657,0.4276315789473684,0.45454545454545453,0.4406779661016949,0.3020833333333333,152,65,87,143,431
risk_lgbm,holdout,49,100,0.03,31,3,30,0.8,0.8,0.1,1.0,balanced,0.43474244729406647,0.2583068267763881,0.2714285714285714,0.22093023255813954,0.24358974358974358,0.2383177570093458,70,19,51,86,300
risk_lgbm,validation,50,100,0.03,31,3,30,0.8,0.9,0.1,1.0,balanced,0.7542249417249416,0.7351911709219187,0.40789473684210525,0.43356643356643354,0.42033898305084744,0.3125,152,62,90,143,431
risk_lgbm,holdout,50,100,0.03,31,3,30,0.8,0.9,0.1,1.0,balanced,0.45376005216257337,0.2652313184983929,0.30985915492957744,0.2558139534883721,0.2802547770700637,0.22897196261682243,71,22,49,86,300
risk_lgbm,validation,51,100,0.03,31,3,30,0.9,0.8,0.1,1.0,balanced,0.7630876068376069,0.7505101028915657,0.4276315789473684,0.45454545454545453,0.4406779661016949,0.3020833333333333,152,65,87,143,431
risk_lgbm,holdout,51,100,0.03,31,3,30,0.9,0.8,0.1,1.0,balanced,0.43474244729406647,0.2583068267763881,0.2714285714285714,0.22093023255813954,0.24358974358974358,0.2383177570093458,70,19,51,86,300
risk_lgbm,validation,52,100,0.03,31,3,30,0.9,0.9,0.1,1.0,balanced,0.7542249417249416,0.7351911709219187,0.40789473684210525,0.43356643356643354,0.42033898305084744,0.3125,152,62,90,143,431
risk_lgbm,holdout,52,100,0.03,31,3,30,0.9,0.9,0.1,1.0,balanced,0.45376005216257337,0.2652313184983929,0.30985915492957744,0.2558139534883721,0.2802547770700637,0.22897196261682243,71,22,49,86,300
risk_lgbm,validation,53,100,0.03,31,3,50,0.8,0.8,0.1,1.0,balanced,0.7517603923853924,0.7206562283667569,0.460431654676259,0.44755244755244755,0.45390070921985815,0.2604166666666667,139,64,75,143,431
risk_lgbm,holdout,53,100,0.03,31,3,50,0.8,0.8,0.1,1.0,balanced,0.5429797870028255,0.32760183932720194,0.42696629213483145,0.4418604651162791,0.4342857142857143,0.2383177570093458,89,38,51,86,300
risk_lgbm,validation,54,100,0.03,31,3,50,0.8,0.9,0.1,1.0,balanced,0.772982226107226,0.742266685669751,0.48148148148148145,0.45454545454545453,0.4676258992805755,0.24305555555555555,135,65,70,143,431
risk_lgbm,holdout,54,100,0.03,31,3,50,0.8,0.9,0.1,1.0,balanced,0.5994892414692458,0.39492063980945485,0.4457831325301205,0.43023255813953487,0.4378698224852071,0.21495327102803738,83,37,46,86,300
risk_lgbm,validation,55,100,0.03,31,3,50,0.9,0.8,0.1,1.0,balanced,0.7517603923853924,0.7206562283667569,0.460431654676259,0.44755244755244755,0.45390070921985815,0.2604166666666667,139,64,75,143,431
risk_lgbm,holdout,55,100,0.03,31,3,50,0.9,0.8,0.1,1.0,balanced,0.5429797870028255,0.32760183932720194,0.42696629213483145,0.4418604651162791,0.4342857142857143,0.2383177570093458,89,38,51,86,300
risk_lgbm,validation,56,100,0.03,31,3,50,0.9,0.9,0.1,1.0,balanced,0.772982226107226,0.742266685669751,0.48148148148148145,0.45454545454545453,0.4676258992805755,0.24305555555555555,135,65,70,143,431
risk_lgbm,holdout,56,100,0.03,31,3,50,0.9,0.9,0.1,1.0,balanced,0.5994892414692458,0.39492063980945485,0.4457831325301205,0.43023255813953487,0.4378698224852071,0.21495327102803738,83,37,46,86,300
risk_lgbm,validation,57,100,0.03,31,4,30,0.8,0.8,0.1,1.0,balanced,0.7814928127428127,0.7725299808949107,0.49264705882352944,0.46853146853146854,0.48028673835125446,0.23958333333333334,136,67,69,143,431
risk_lgbm,holdout,57,100,0.03,31,4,30,0.8,0.8,0.1,1.0,balanced,0.5628124320799827,0.3253782127445213,0.4430379746835443,0.4069767441860465,0.42424242424242425,0.205607476635514,79,35,44,86,300
risk_lgbm,validation,58,100,0.03,31,4,30,0.8,0.9,0.1,1.0,balanced,0.7646901709401709,0.7616389091893285,0.4642857142857143,0.45454545454545453,0.45936395759717313,0.2604166666666667,140,65,75,143,431
risk_lgbm,holdout,58,100,0.03,31,4,30,0.8,0.9,0.1,1.0,balanced,0.5466746359487068,0.3024858622518891,0.367816091954023,0.37209302325581395,0.3699421965317919,0.2570093457943925,87,32,55,86,300
risk_lgbm,validation,59,100,0.03,31,4,30,0.9,0.8,0.1,1.0,balanced,0.7814928127428127,0.7725299808949107,0.49264705882352944,0.46853146853146854,0.48028673835125446,0.23958333333333334,136,67,69,143,431
risk_lgbm,holdout,59,100,0.03,31,4,30,0.9,0.8,0.1,1.0,balanced,0.5628124320799827,0.3253782127445213,0.4430379746835443,0.4069767441860465,0.42424242424242425,0.205607476635514,79,35,44,86,300
risk_lgbm,validation,60,100,0.03,31,4,30,0.9,0.9,0.1,1.0,balanced,0.7646901709401709,0.7616389091893285,0.4642857142857143,0.45454545454545453,0.45936395759717313,0.2604166666666667,140,65,75,143,431
risk_lgbm,holdout,60,100,0.03,31,4,30,0.9,0.9,0.1,1.0,balanced,0.5466746359487068,0.3024858622518891,0.367816091954023,0.37209302325581395,0.3699421965317919,0.2570093457943925,87,32,55,86,300
risk_lgbm,validation,61,100,0.03,31,4,50,0.8,0.8,0.1,1.0,balanced,0.7914724164724164,0.7950884186367524,0.5338345864661654,0.4965034965034965,0.5144927536231884,0.2152777777777778,133,71,62,143,431
risk_lgbm,holdout,61,100,0.03,31,4,50,0.8,0.8,0.1,1.0,balanced,0.6383394914149098,0.39184535231540973,0.5119047619047619,0.5,0.5058823529411764,0.19158878504672897,84,43,41,86,300
risk_lgbm,validation,62,100,0.03,31,4,50,0.8,0.9,0.1,1.0,balanced,0.8031031468531469,0.8101327300975218,0.6083916083916084,0.6083916083916084,0.6083916083916084,0.19444444444444445,143,87,56,143,431
risk_lgbm,holdout,62,100,0.03,31,4,50,0.8,0.9,0.1,1.0,balanced,0.6558900239078462,0.39065008136154766,0.5061728395061729,0.47674418604651164,0.49101796407185627,0.18691588785046728,81,41,40,86,300
risk_lgbm,validation,63,100,0.03,31,4,50,0.9,0.8,0.1,1.0,balanced,0.7914724164724164,0.7950884186367524,0.5338345864661654,0.4965034965034965,0.5144927536231884,0.2152777777777778,133,71,62,143,431
