candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
26,validation,180,0.04,31,-1,5,0.7,0.7,0.1,5.0,balanced,143,0.46153846153846156,0.34375,0.4227491258741259,0.7902097902097902,0.6993006993006993
26,holdout,180,0.04,31,-1,5,0.7,0.7,0.1,5.0,balanced,86,0.686046511627907,0.4638537271448664,0.6771857521342359,0.9651162790697675,0.3488372093023256
27,validation,320,0.025,31,5,5,0.85,0.7,0.0,1.0,balanced,143,0.3986013986013986,0.29593893129770993,0.3654436555810601,0.7902097902097902,0.7482517482517482
27,holdout,320,0.025,31,5,5,0.85,0.7,0.0,1.0,balanced,86,0.627906976744186,0.4254742547425474,0.6202495745887692,0.9651162790697675,0.4069767441860465
28,validation,450,0.025,63,5,5,0.7,1.0,0.5,0.5,balanced,143,0.4195804195804196,0.31025201859554685,0.38535284143309595,0.7902097902097902,0.7272727272727273
28,holdout,450,0.025,63,5,5,0.7,1.0,0.5,0.5,balanced,86,0.6744186046511628,0.4528212422949265,0.6642462535975387,0.9651162790697675,0.36046511627906974
29,validation,240,0.015,15,-1,5,0.7,1.0,0.0,2.0,balanced,143,0.4405594405594406,0.32615610472229023,0.4020183388913509,0.7902097902097902,0.6993006993006993
29,holdout,240,0.015,15,-1,5,0.7,1.0,0.0,2.0,balanced,86,0.6511627906976745,0.4395604395604396,0.6429849220546895,0.9651162790697675,0.38372093023255816
30,validation,120,0.015,7,-1,5,1.0,0.7,0.5,5.0,,143,0.5244755244755245,0.3478986388233331,0.4533456959974875,0.7902097902097902,0.5664335664335665
30,holdout,120,0.015,7,-1,5,1.0,0.7,0.5,5.0,,86,0.627906976744186,0.40020387359836906,0.5995661759476566,0.9651162790697675,0.4069767441860465
31,validation,180,0.015,63,4,20,0.85,0.85,0.5,1.0,,143,0.5034965034965035,0.3397945997415494,0.44311493444323485,0.7902097902097902,0.6083916083916084
31,holdout,180,0.015,63,4,20,0.85,0.85,0.5,1.0,,86,0.6627906976744186,0.4240369799691834,0.6331529723725231,0.9651162790697675,0.37209302325581395
32,validation,320,0.015,63,4,5,1.0,0.85,0.0,1.0,,143,0.4965034965034965,0.3514981750275868,0.4497000325877331,0.7902097902097902,0.6433566433566433
32,holdout,320,0.015,63,4,5,1.0,0.85,0.0,1.0,,86,0.6395348837209303,0.41459518818009383,0.6174247964506849,0.9651162790697675,0.3953488372093023
33,validation,240,0.04,15,4,5,1.0,0.85,0.5,2.0,,143,0.44755244755244755,0.3238272755514135,0.4101147687354584,0.7902097902097902,0.6923076923076923
33,holdout,240,0.04,15,4,5,1.0,0.85,0.5,2.0,,86,0.6162790697674418,0.4044483465027802,0.6005063601282234,0.9651162790697675,0.4186046511627907
34,validation,240,0.015,15,5,45,0.85,0.85,0.0,2.0,balanced,143,0.4195804195804196,0.3129775658658842,0.37546535620990046,0.7902097902097902,0.7202797202797203
34,holdout,240,0.015,15,5,45,0.85,0.85,0.0,2.0,balanced,86,0.6744186046511628,0.4570600878422577,0.6657636865061514,0.9651162790697675,0.36046511627906974
35,validation,180,0.015,31,-1,20,0.85,0.7,0.1,2.0,balanced,143,0.4405594405594406,0.3290922436995351,0.3976534842695841,0.7902097902097902,0.7132867132867133
35,holdout,180,0.015,31,-1,20,0.85,0.7,0.1,2.0,balanced,86,0.6976744186046512,0.47019430296170533,0.6878528842737,0.9651162790697675,0.3372093023255814
36,validation,180,0.04,31,3,20,0.85,1.0,0.1,5.0,balanced,143,0.46153846153846156,0.3440151376426784,0.42022580971491424,0.7902097902097902,0.6923076923076923
