candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
72,validation,240,0.06,7,-1,30,0.85,0.85,0.5,0.5,,143,0.4755244755244755,0.3516339869281046,0.4316742081447964,0.7902097902097902,0.6573426573426573
72,holdout,240,0.06,7,-1,30,0.85,0.85,0.5,0.5,,86,0.6627906976744186,0.44557919621749403,0.6533729176975096,0.9651162790697675,0.37209302325581395
73,validation,240,0.04,63,3,20,0.85,0.7,0.0,0.5,balanced,143,0.4405594405594406,0.32380249646436693,0.40227398500779793,0.7902097902097902,0.6923076923076923
73,holdout,240,0.04,63,3,20,0.85,0.7,0.0,0.5,balanced,86,0.686046511627907,0.46520146520146516,0.6726296958855098,0.9651162790697675,0.3488372093023256
74,validation,180,0.04,15,4,30,0.85,0.85,0.5,1.0,balanced,143,0.45454545454545453,0.33787277353689565,0.4109633267495863,0.7902097902097902,0.6783216783216783
74,holdout,180,0.04,15,4,30,0.85,0.85,0.5,1.0,balanced,86,0.686046511627907,0.4646464646464647,0.6772374911909794,0.9651162790697675,0.3488372093023256
75,validation,240,0.015,7,4,30,0.7,0.7,0.0,2.0,,143,0.4755244755244755,0.34075573549257765,0.43016194331983804,0.7902097902097902,0.6433566433566433
75,holdout,240,0.015,7,4,30,0.7,0.7,0.0,2.0,,86,0.686046511627907,0.46004566210045655,0.6750557502389296,0.9651162790697675,0.3488372093023256
76,validation,450,0.06,31,5,20,1.0,1.0,0.1,2.0,,143,0.46853146853146854,0.34466338259441703,0.4253539563884391,0.7902097902097902,0.6573426573426573
76,holdout,450,0.06,31,5,20,1.0,1.0,0.1,2.0,,86,0.5930232558139535,0.3846153846153846,0.5742397137745975,0.9651162790697675,0.4418604651162791
77,validation,120,0.04,7,5,30,0.7,1.0,0.5,1.0,,143,0.46853146853146854,0.3403071814030718,0.4259568575882399,0.7902097902097902,0.6573426573426573
77,holdout,120,0.04,7,5,30,0.7,1.0,0.5,1.0,,86,0.7209302325581395,0.4848743480322428,0.7097456085216183,0.9651162790697675,0.313953488372093
78,validation,450,0.04,15,-1,30,0.85,0.85,0.5,0.5,balanced,143,0.46153846153846156,0.34254954734524096,0.4154311555828561,0.7902097902097902,0.6573426573426573
78,holdout,450,0.04,15,-1,30,0.85,0.85,0.5,0.5,balanced,86,0.6744186046511628,0.45636704119850185,0.6658936503788868,0.9651162790697675,0.36046511627906974
79,validation,450,0.06,15,3,10,0.7,1.0,0.0,5.0,,143,0.44755244755244755,0.32503276539973786,0.40579603882356174,0.7902097902097902,0.6643356643356644
79,holdout,450,0.06,15,3,10,0.7,1.0,0.0,5.0,,86,0.6046511627906976,0.40038480038480034,0.5926708949964764,0.9651162790697675,0.43023255813953487
