model,split,n_estimators,max_samples,max_features,bootstrap,threshold_quantile,threshold_value,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
isolation_forest,validation,300,1.0,0.75,False,0.95,0.4900682362951824,0.6311858076563959,0.5241901202690362,1.0,0.03361344537815126,0.06504065040650407,0.0,4,4,0,119,362
isolation_forest,holdout,300,1.0,0.75,False,0.95,0.4900682362951824,0.7218333189295076,0.6852646129221431,1.0,0.23308270676691728,0.3780487804878049,0.0,31,31,0,133,394
isolation_forest,validation,300,1.0,0.75,False,0.99,0.5209489315016663,0.6311858076563959,0.5241901202690362,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,1.0,0.75,False,0.99,0.5209489315016663,0.7218333189295076,0.6852646129221431,1.0,0.15789473684210525,0.2727272727272727,0.0,21,21,0,133,394
isolation_forest,validation,300,1.0,0.75,True,0.9,0.5048407138795382,0.6221253933672234,0.44254245877337206,0.6,0.07563025210084033,0.13432835820895522,0.024691358024691357,15,9,6,119,362
isolation_forest,holdout,300,1.0,0.75,True,0.9,0.5048407138795382,0.7152651744303288,0.6971307277429157,0.8888888888888888,0.3007518796992481,0.449438202247191,0.019157088122605363,45,40,5,133,394
isolation_forest,validation,300,1.0,0.75,True,0.92,0.5138982122966459,0.6221253933672234,0.44254245877337206,0.7142857142857143,0.04201680672268908,0.07936507936507936,0.00823045267489712,7,5,2,119,362
isolation_forest,holdout,300,1.0,0.75,True,0.92,0.5138982122966459,0.7152651744303288,0.6971307277429157,0.9375,0.22556390977443608,0.36363636363636365,0.007662835249042145,32,30,2,133,394
isolation_forest,validation,300,1.0,0.75,True,0.95,0.5251060062256562,0.6221253933672234,0.44254245877337206,1.0,0.025210084033613446,0.04918032786885246,0.0,3,3,0,119,362
isolation_forest,holdout,300,1.0,0.75,True,0.95,0.5251060062256562,0.7152651744303288,0.6971307277429157,1.0,0.18796992481203006,0.31645569620253167,0.0,25,25,0,133,394
isolation_forest,validation,300,1.0,0.75,True,0.99,0.5516169833107194,0.6221253933672234,0.44254245877337206,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,1.0,0.75,True,0.99,0.5516169833107194,0.7152651744303288,0.6971307277429157,1.0,0.15789473684210525,0.2727272727272727,0.0,21,21,0,133,394
