candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
29,holdout,260,0.04,31,4,40,1.0,0.95,1.0,1.0,balanced,0.6074766355140188,0.3484793877457475,0.4444444444444444,0.27906976744186046,0.34285714285714286,0.14018691588785046,54,24,30,86,300
30,validation,260,0.08,5,-1,60,0.95,0.95,0.0,0.5,,0.8025932400932402,0.8213127000609859,0.8111111111111111,0.5104895104895105,0.6266094420600858,0.059027777777777776,90,73,17,143,431
30,holdout,260,0.08,5,-1,60,0.95,0.95,0.0,0.5,,0.5792762442947185,0.3543997231553918,0.3409090909090909,0.1744186046511628,0.23076923076923078,0.13551401869158877,44,15,29,86,300
31,validation,180,0.08,63,3,60,0.65,0.8,0.1,0.5,,0.7687937062937064,0.7919520802326181,0.797979797979798,0.5524475524475524,0.6528925619834711,0.06944444444444445,99,79,20,143,431
31,holdout,180,0.08,63,3,60,0.65,0.8,0.1,0.5,,0.6625733536187786,0.43228127058575133,0.5208333333333334,0.29069767441860467,0.373134328358209,0.10747663551401869,48,25,23,86,300
32,validation,180,0.025,11,5,90,0.8,0.8,0.5,2.0,balanced,0.7336587024087025,0.7254212219227123,0.5040650406504065,0.43356643356643354,0.46616541353383456,0.21180555555555555,123,62,61,143,431
32,holdout,180,0.025,11,5,90,0.8,0.8,0.5,2.0,balanced,0.5214083894805477,0.32347886294903744,0.28846153846153844,0.1744186046511628,0.21739130434782608,0.17289719626168223,52,15,37,86,300
33,validation,120,0.025,5,2,60,1.0,0.95,1.0,0.5,,0.7861669580419581,0.7619085370329746,0.9459459459459459,0.24475524475524477,0.3888888888888889,0.006944444444444444,37,35,2,143,431
33,holdout,120,0.025,5,2,60,1.0,0.95,1.0,0.5,,0.6384481634427298,0.37930635988649913,1.0,0.03488372093023256,0.06741573033707865,0.0,3,3,0,86,300
34,validation,180,0.04,7,4,120,1.0,1.0,0.1,1.0,,0.7698863636363636,0.7909412622880609,0.8840579710144928,0.42657342657342656,0.5754716981132075,0.027777777777777776,69,61,8,143,431
