feature_set,param_set,feature_count,evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate
contract_195_full,max_samples_512,195,split_time_based,holdout,0.975,0.5105120362254465,394,261,133,0.7203065134099618,0.6788308483670523,1.0,0.18045112781954886,0.3057324840764331,0.0
contract_195_full,max_samples_512,195,split_time_based,holdout,0.99,0.5285582172419183,394,261,133,0.7203065134099618,0.6788308483670523,1.0,0.15789473684210525,0.2727272727272727,0.0
contract_195_full,max_samples_512,195,split_substation_based,train,0.95,0.5019216091147135,2021,1380,641,0.6727870853964594,0.5465151920088074,0.7295597484276729,0.1809672386895476,0.29,0.031159420289855074
contract_195_full,max_samples_512,195,split_substation_based,train,0.975,0.5105120362254465,2021,1380,641,0.6727870853964594,0.5465151920088074,0.8785046728971962,0.14664586583463338,0.25133689839572193,0.009420289855072464
contract_195_full,max_samples_512,195,split_substation_based,train,0.99,0.5285582172419183,2021,1380,641,0.6727870853964594,0.5465151920088074,0.9423076923076923,0.07644305772230889,0.1414141414141414,0.002173913043478261
contract_195_full,max_samples_512,195,split_substation_based,validation,0.95,0.5019216091147135,249,196,53,0.5180978051597998,0.2197831159402182,0.0,0.0,0.0,0.07653061224489796
contract_195_full,max_samples_512,195,split_substation_based,validation,0.975,0.5105120362254465,249,196,53,0.5180978051597998,0.2197831159402182,0.0,0.0,0.0,0.07142857142857142
contract_195_full,max_samples_512,195,split_substation_based,validation,0.99,0.5285582172419183,249,196,53,0.5180978051597998,0.2197831159402182,0.0,0.0,0.0,0.03571428571428571
contract_195_full,max_samples_512,195,split_substation_based,holdout,0.95,0.5019216091147135,256,191,65,0.5793797825211439,0.3631288323013797,0.5384615384615384,0.1076923076923077,0.1794871794871795,0.031413612565445025
contract_195_full,max_samples_512,195,split_substation_based,holdout,0.975,0.5105120362254465,256,191,65,0.5793797825211439,0.3631288323013797,0.5833333333333334,0.1076923076923077,0.18181818181818182,0.02617801047120419
contract_195_full,max_samples_512,195,split_substation_based,holdout,0.99,0.5285582172419183,256,191,65,0.5793797825211439,0.3631288323013797,0.5714285714285714,0.06153846153846154,0.1111111111111111,0.015706806282722512
contract_195_full,max_features_075,195,split_time_based,train,0.95,0.5083730412936079,1770,1263,507,0.6172757952403485,0.4100347116664604,0.5328467153284672,0.14398422090729784,0.2267080745341615,0.050673000791765635
contract_195_full,max_features_075,195,split_time_based,train,0.975,0.525947753223825,1770,1263,507,0.6172757952403485,0.4100347116664604,0.5492957746478874,0.07692307692307693,0.13494809688581316,0.025336500395882817
contract_195_full,max_features_075,195,split_time_based,train,0.99,0.5384273289441653,1770,1263,507,0.6172757952403485,0.4100347116664604,0.5806451612903226,0.03550295857988166,0.06691449814126393,0.010292953285827395
contract_195_full,max_features_075,195,split_time_based,validation,0.95,0.5083730412936079,362,243,119,0.6379984092402393,0.4829091767516517,0.0,0.0,0.0,0.0
contract_195_full,max_features_075,195,split_time_based,validation,0.975,0.525947753223825,362,243,119,0.6379984092402393,0.4829091767516517,0.0,0.0,0.0,0.0
contract_195_full,max_features_075,195,split_time_based,validation,0.99,0.5384273289441653,362,243,119,0.6379984092402393,0.4829091767516517,0.0,0.0,0.0,0.0
contract_195_full,max_features_075,195,split_time_based,holdout,0.95,0.5083730412936079,394,261,133,0.7106847578716907,0.661539925037246,1.0,0.17293233082706766,0.2948717948717949,0.0
contract_195_full,max_features_075,195,split_time_based,holdout,0.975,0.525947753223825,394,261,133,0.7106847578716907,0.661539925037246,1.0,0.13533834586466165,0.23841059602649006,0.0
contract_195_full,max_features_075,195,split_time_based,holdout,0.99,0.5384273289441653,394,261,133,0.7106847578716907,0.661539925037246,1.0,0.12030075187969924,0.21476510067114093,0.0
contract_195_full,max_features_075,195,split_substation_based,train,0.95,0.5083730412936079,2021,1380,641,0.6567342693707748,0.5033658673356283,0.6846153846153846,0.13884555382215288,0.23086900129701687,0.029710144927536233
contract_195_full,max_features_075,195,split_substation_based,train,0.975,0.525947753223825,2021,1380,641,0.6567342693707748,0.5033658673356283,0.782608695652174,0.0842433697347894,0.15211267605633802,0.010869565217391304
contract_195_full,max_features_075,195,split_substation_based,train,0.99,0.5384273289441653,2021,1380,641,0.6567342693707748,0.5033658673356283,0.8,0.0499219968798752,0.09397944199706314,0.005797101449275362
contract_195_full,max_features_075,195,split_substation_based,validation,0.95,0.5083730412936079,249,196,53,0.5015402387370043,0.20528390482919345,0.0,0.0,0.0,0.08163265306122448
contract_195_full,max_features_075,195,split_substation_based,validation,0.975,0.525947753223825,249,196,53,0.5015402387370043,0.20528390482919345,0.0,0.0,0.0,0.061224489795918366
contract_195_full,max_features_075,195,split_substation_based,validation,0.99,0.5384273289441653,249,196,53,0.5015402387370043,0.20528390482919345,0.0,0.0,0.0,0.015306122448979591
contract_195_full,max_features_075,195,split_substation_based,holdout,0.95,0.5083730412936079,256,191,65,0.5174385823600484,0.3087130085713366,0.5,0.1076923076923077,0.17721518987341772,0.03664921465968586
contract_195_full,max_features_075,195,split_substation_based,holdout,0.975,0.525947753223825,256,191,65,0.5174385823600484,0.3087130085713366,0.375,0.046153846153846156,0.0821917808219178,0.02617801047120419
contract_195_full,max_features_075,195,split_substation_based,holdout,0.99,0.5384273289441653,256,191,65,0.5174385823600484,0.3087130085713366,0.5,0.03076923076923077,0.057971014492753624,0.010471204188481676
contract_195_full,bootstrap_true,195,split_time_based,train,0.95,0.518636368775197,1770,1263,507,0.6125720514538349,0.39986038515005046,0.5294117647058824,0.14201183431952663,0.223950233281493,0.050673000791765635
contract_195_full,bootstrap_true,195,split_time_based,train,0.975,0.5376209466857782,1770,1263,507,0.6125720514538349,0.39986038515005046,0.49206349206349204,0.0611439842209073,0.10877192982456141,0.025336500395882817
contract_195_full,bootstrap_true,195,split_time_based,train,0.99,0.5469009375338273,1770,1263,507,0.6125720514538349,0.39986038515005046,0.5806451612903226,0.03550295857988166,0.06691449814126393,0.010292953285827395
contract_195_full,bootstrap_true,195,split_time_based,validation,0.95,0.518636368775197,362,243,119,0.6402462219455682,0.48889092751018537,0.0,0.0,0.0,0.0
contract_195_full,bootstrap_true,195,split_time_based,validation,0.975,0.5376209466857782,362,243,119,0.6402462219455682,0.48889092751018537,0.0,0.0,0.0,0.0
contract_195_full,bootstrap_true,195,split_time_based,validation,0.99,0.5469009375338273,362,243,119,0.6402462219455682,0.48889092751018537,0.0,0.0,0.0,0.0
contract_195_full,bootstrap_true,195,split_time_based,holdout,0.95,0.518636368775197,394,261,133,0.7067381096419209,0.6705578664392444,1.0,0.16541353383458646,0.2838709677419355,0.0
contract_195_full,bootstrap_true,195,split_time_based,holdout,0.975,0.5376209466857782,394,261,133,0.7067381096419209,0.6705578664392444,1.0,0.13533834586466165,0.23841059602649006,0.0
contract_195_full,bootstrap_true,195,split_time_based,holdout,0.99,0.5469009375338273,394,261,133,0.7067381096419209,0.6705578664392444,1.0,0.12030075187969924,0.21476510067114093,0.0
