evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,predicted_anomaly_count,predicted_anomaly_rate,roc_auc,average_precision,precision,recall,f1,false_positive_rate,true_positive_count,false_positive_count,false_negative_count,true_negative_count
split_substation_based,holdout,0.9,0.4908943839229221,256,191,65,16,0.0625,0.555618203785743,0.3304512812001653,0.4375,0.1076923076923077,0.1728395061728395,0.04712041884816754,7,9,58,182
split_substation_based,train,0.92,0.5000801561328243,2021,1380,641,196,0.09698169223156854,0.6520959099233534,0.5040015307580781,0.6326530612244898,0.1934477379095164,0.2962962962962963,0.05217391304347826,124,72,517,1308
split_substation_based,validation,0.92,0.5000801561328243,249,196,53,25,0.10040160642570281,0.5219484020023104,0.23083319248513626,0.16,0.07547169811320754,0.10256410256410256,0.10714285714285714,4,21,49,175
split_substation_based,holdout,0.92,0.5000801561328243,256,191,65,14,0.0546875,0.555618203785743,0.3304512812001653,0.42857142857142855,0.09230769230769231,0.1518987341772152,0.041884816753926704,6,8,59,183
split_substation_based,train,0.94,0.5127022984586344,2021,1380,641,138,0.06828302820385948,0.6520959099233534,0.5040015307580781,0.6159420289855072,0.13260530421216848,0.21822849807445444,0.03840579710144928,85,53,556,1327
split_substation_based,validation,0.94,0.5127022984586344,249,196,53,15,0.060240963855421686,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.07653061224489796,0,15,53,181
split_substation_based,holdout,0.94,0.5127022984586344,256,191,65,13,0.05078125,0.555618203785743,0.3304512812001653,0.38461538461538464,0.07692307692307693,0.1282051282051282,0.041884816753926704,5,8,60,183
split_substation_based,train,0.95,0.5160815367097453,2021,1380,641,119,0.058881741712023754,0.6520959099233534,0.5040015307580781,0.6470588235294118,0.12012480499219969,0.2026315789473684,0.030434782608695653,77,42,564,1338
split_substation_based,validation,0.95,0.5160815367097453,249,196,53,14,0.05622489959839357,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.07142857142857142,0,14,53,182
split_substation_based,holdout,0.95,0.5160815367097453,256,191,65,13,0.05078125,0.555618203785743,0.3304512812001653,0.38461538461538464,0.07692307692307693,0.1282051282051282,0.041884816753926704,5,8,60,183
split_substation_based,train,0.96,0.5183418737842782,2021,1380,641,101,0.0499752597723899,0.6520959099233534,0.5040015307580781,0.7029702970297029,0.11076443057722309,0.19137466307277629,0.021739130434782608,71,30,570,1350
split_substation_based,validation,0.96,0.5183418737842782,249,196,53,14,0.05622489959839357,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.07142857142857142,0,14,53,182
split_substation_based,holdout,0.96,0.5183418737842782,256,191,65,12,0.046875,0.555618203785743,0.3304512812001653,0.4166666666666667,0.07692307692307693,0.12987012987012986,0.03664921465968586,5,7,60,184
split_substation_based,train,0.975,0.5244790383958161,2021,1380,641,65,0.032162295893122216,0.6520959099233534,0.5040015307580781,0.8153846153846154,0.08268330733229329,0.1501416430594901,0.008695652173913044,53,12,588,1368
split_substation_based,validation,0.975,0.5244790383958161,249,196,53,13,0.05220883534136546,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.0663265306122449,0,13,53,183
split_substation_based,holdout,0.975,0.5244790383958161,256,191,65,11,0.04296875,0.555618203785743,0.3304512812001653,0.36363636363636365,0.06153846153846154,0.10526315789473684,0.03664921465968586,4,7,61,184
split_substation_based,train,0.98,0.5275386546330987,2021,1380,641,62,0.030677882236516577,0.6520959099233534,0.5040015307580781,0.8387096774193549,0.0811232449297972,0.14793741109530584,0.007246376811594203,52,10,589,1370
split_substation_based,validation,0.98,0.5275386546330987,249,196,53,10,0.040160642570281124,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.05102040816326531,0,10,53,186
split_substation_based,holdout,0.98,0.5275386546330987,256,191,65,9,0.03515625,0.555618203785743,0.3304512812001653,0.3333333333333333,0.046153846153846156,0.08108108108108109,0.031413612565445025,3,6,62,185
split_substation_based,train,0.99,0.5357784270858823,2021,1380,641,40,0.01979218208807521,0.6520959099233534,0.5040015307580781,0.9,0.056162246489859596,0.10572687224669604,0.002898550724637681,36,4,605,1376
split_substation_based,validation,0.99,0.5357784270858823,249,196,53,5,0.020080321285140562,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.025510204081632654,0,5,53,191
split_substation_based,holdout,0.99,0.5357784270858823,256,191,65,6,0.0234375,0.555618203785743,0.3304512812001653,0.3333333333333333,0.03076923076923077,0.056338028169014086,0.020942408376963352,2,4,63,187
split_substation_based,train,0.995,0.5385141334597663,2021,1380,641,37,0.01830776843146957,0.6520959099233534,0.5040015307580781,0.918918918918919,0.0530421216848674,0.10029498525073746,0.002173913043478261,34,3,607,1377
split_substation_based,validation,0.995,0.5385141334597663,249,196,53,2,0.008032128514056224,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.01020408163265306,0,2,53,194
split_substation_based,holdout,0.995,0.5385141334597663,256,191,65,3,0.01171875,0.555618203785743,0.3304512812001653,0.3333333333333333,0.015384615384615385,0.029411764705882353,0.010471204188481676,1,2,64,189
