model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
leadtime_lgbm,validation,40,150,0.03,15,3,10,0.9,0.9,0.1,1.0,balanced,143,0.4405594405594406,0.3289160305343512,0.402259969038595,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,40,150,0.03,15,3,10,0.9,0.9,0.1,1.0,balanced,86,0.5813953488372093,0.39409282700421944,0.5691786870768325,0.9534883720930233,0.45348837209302323
leadtime_lgbm,validation,41,150,0.03,15,3,20,0.8,0.8,0.1,1.0,balanced,143,0.46153846153846156,0.34432234432234426,0.42157842157842157,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,41,150,0.03,15,3,20,0.8,0.8,0.1,1.0,balanced,86,0.686046511627907,0.4656574151948416,0.6754552389148591,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,42,150,0.03,15,3,20,0.8,0.9,0.1,1.0,balanced,143,0.44755244755244755,0.3333333333333333,0.4065777972027972,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,42,150,0.03,15,3,20,0.8,0.9,0.1,1.0,balanced,86,0.686046511627907,0.4646464646464647,0.6772374911909794,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,43,150,0.03,15,3,20,0.9,0.8,0.1,1.0,balanced,143,0.46153846153846156,0.34432234432234426,0.42157842157842157,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,43,150,0.03,15,3,20,0.9,0.8,0.1,1.0,balanced,86,0.686046511627907,0.4656574151948416,0.6754552389148591,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,44,150,0.03,15,3,20,0.9,0.9,0.1,1.0,balanced,143,0.44755244755244755,0.3333333333333333,0.4065777972027972,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,44,150,0.03,15,3,20,0.9,0.9,0.1,1.0,balanced,86,0.686046511627907,0.4646464646464647,0.6772374911909794,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,45,150,0.03,15,3,30,0.8,0.8,0.1,1.0,balanced,143,0.46853146853146854,0.3494505494505495,0.4257742257742258,0.7902097902097902,0.6853146853146853
leadtime_lgbm,holdout,45,150,0.03,15,3,30,0.8,0.8,0.1,1.0,balanced,86,0.6976744186046512,0.4735219949565705,0.687411625952159,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,46,150,0.03,15,3,30,0.8,0.9,0.1,1.0,balanced,143,0.45454545454545453,0.33886853886853885,0.40934620934620936,0.7902097902097902,0.6853146853146853
leadtime_lgbm,holdout,46,150,0.03,15,3,30,0.8,0.9,0.1,1.0,balanced,86,0.7209302325581395,0.4890756302521009,0.7109439124487004,0.9651162790697675,0.313953488372093
leadtime_lgbm,validation,47,150,0.03,15,3,30,0.9,0.8,0.1,1.0,balanced,143,0.46853146853146854,0.3494505494505495,0.4257742257742258,0.7902097902097902,0.6853146853146853
leadtime_lgbm,holdout,47,150,0.03,15,3,30,0.9,0.8,0.1,1.0,balanced,86,0.6976744186046512,0.4735219949565705,0.687411625952159,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,48,150,0.03,15,3,30,0.9,0.9,0.1,1.0,balanced,143,0.45454545454545453,0.33886853886853885,0.40934620934620936,0.7902097902097902,0.6853146853146853
leadtime_lgbm,holdout,48,150,0.03,15,3,30,0.9,0.9,0.1,1.0,balanced,86,0.7209302325581395,0.4890756302521009,0.7109439124487004,0.9651162790697675,0.313953488372093
leadtime_lgbm,validation,49,150,0.03,15,4,10,0.8,0.8,0.1,1.0,balanced,143,0.4125874125874126,0.30600078387689006,0.35866305858260805,0.7902097902097902,0.7342657342657343
leadtime_lgbm,holdout,49,150,0.03,15,4,10,0.8,0.8,0.1,1.0,balanced,86,0.6162790697674418,0.41827866554527615,0.6065483990846324,0.9651162790697675,0.4186046511627907
leadtime_lgbm,validation,50,150,0.03,15,4,10,0.8,0.9,0.1,1.0,balanced,143,0.40559440559440557,0.2989417989417989,0.3451132201132201,0.7902097902097902,0.7272727272727273
leadtime_lgbm,holdout,50,150,0.03,15,4,10,0.8,0.9,0.1,1.0,balanced,86,0.6046511627906976,0.4103067714178825,0.5942663064756087,0.9651162790697675,0.43023255813953487
leadtime_lgbm,validation,51,150,0.03,15,4,10,0.9,0.8,0.1,1.0,balanced,143,0.4125874125874126,0.30600078387689006,0.35866305858260805,0.7902097902097902,0.7342657342657343
leadtime_lgbm,holdout,51,150,0.03,15,4,10,0.9,0.8,0.1,1.0,balanced,86,0.6162790697674418,0.41827866554527615,0.6065483990846324,0.9651162790697675,0.4186046511627907
leadtime_lgbm,validation,52,150,0.03,15,4,10,0.9,0.9,0.1,1.0,balanced,143,0.40559440559440557,0.2989417989417989,0.3451132201132201,0.7902097902097902,0.7272727272727273
leadtime_lgbm,holdout,52,150,0.03,15,4,10,0.9,0.9,0.1,1.0,balanced,86,0.6046511627906976,0.4103067714178825,0.5942663064756087,0.9651162790697675,0.43023255813953487
leadtime_lgbm,validation,53,150,0.03,15,4,20,0.8,0.8,0.1,1.0,balanced,143,0.44755244755244755,0.3333333333333333,0.4065777972027972,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,53,150,0.03,15,4,20,0.8,0.8,0.1,1.0,balanced,86,0.6744186046511628,0.45751633986928103,0.6652986776105791,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,54,150,0.03,15,4,20,0.8,0.9,0.1,1.0,balanced,143,0.4125874125874126,0.3083725574097846,0.3756773820958673,0.7902097902097902,0.7482517482517482
leadtime_lgbm,holdout,54,150,0.03,15,4,20,0.8,0.9,0.1,1.0,balanced,86,0.6511627906976745,0.4419538619594658,0.6415841842220151,0.9651162790697675,0.38372093023255816
leadtime_lgbm,validation,55,150,0.03,15,4,20,0.9,0.8,0.1,1.0,balanced,143,0.44755244755244755,0.3333333333333333,0.4065777972027972,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,55,150,0.03,15,4,20,0.9,0.8,0.1,1.0,balanced,86,0.6744186046511628,0.45751633986928103,0.6652986776105791,0.9651162790697675,0.36046511627906974
