split_strategy,safe_feature,median
split_substation_based,f_0172,60.56666666666667
split_substation_based,f_0173,57.9
split_substation_based,f_0174,0.0
split_substation_based,f_0175,0.0
split_substation_based,f_0176,1.170296224879947
split_substation_based,f_0177,0.5499999999999972
split_substation_based,f_0178,3.504999999999999
split_substation_based,f_0179,0.3375
split_substation_based,f_0180,0.0
split_substation_based,f_0181,60.0
split_substation_based,f_0182,60.0
split_substation_based,f_0183,60.0
split_substation_based,f_0184,60.0
split_substation_based,f_0185,60.0
split_substation_based,f_0186,0.0
split_substation_based,f_0187,0.0
split_substation_based,f_0188,0.0
split_substation_based,f_0189,3.0
split_substation_based,f_0190,148.0
split_substation_based,f_0191,15.0
split_substation_based,f_0192,1.0
split_substation_based,f_0193,0.0
split_substation_based,f_0194,5.0
split_substation_based,f_0195,0.4258826996768533
split_substation_based,f_0196,0.0700706898492948
split_substation_based,f_0197,0.0700706898492948
split_substation_based,f_0198,0.7498292789589555
split_substation_based,f_0199,0.3467476879696915
split_substation_based,f_0200,0.5901178323087272
split_substation_based,f_0201,0.0087267802256802
split_substation_based,f_0202,0.0
split_substation_based,f_0203,0.0
split_substation_based,f_0204,1.0
split_substation_based,f_0205,0.0
split_substation_based,f_0206,0.0
split_substation_based,f_0207,1.0
split_substation_based,f_0208,0.0
split_regime_based,f_0000,-0.2225209339563143
split_regime_based,f_0001,0.0
split_regime_based,f_0002,0.4850598461951962
split_regime_based,f_0003,0.1198811922992272
split_regime_based,f_0004,0.7071067811865474
split_regime_based,f_0005,2.220446049250313e-16
split_regime_based,f_0006,0.0
split_regime_based,f_0007,0.0
split_regime_based,f_0008,1.0
split_regime_based,f_0009,0.0
split_regime_based,f_0010,0.0
split_regime_based,f_0011,0.0
split_regime_based,f_0012,1.0
split_regime_based,f_0013,0.0
split_regime_based,f_0014,0.0
split_regime_based,f_0015,0.0
split_regime_based,f_0016,1.0
split_regime_based,f_0017,1.0
split_regime_based,f_0018,0.0
split_regime_based,f_0019,0.0
split_regime_based,f_0020,1.0
split_regime_based,f_0021,0.0
split_regime_based,f_0022,0.0
split_regime_based,f_0023,0.0
split_regime_based,f_0024,1.0
split_regime_based,f_0025,1.0
split_regime_based,f_0026,0.0
split_regime_based,f_0027,0.0
split_regime_based,f_0028,0.0
split_regime_based,f_0029,1.0
split_regime_based,f_0030,0.0
split_regime_based,f_0031,0.0
split_regime_based,f_0032,0.0
split_regime_based,f_0033,1.0
split_regime_based,f_0034,1.0
split_regime_based,f_0035,0.0
split_regime_based,f_0036,0.0
split_regime_based,f_0037,0.0
split_regime_based,f_0038,1.0
split_regime_based,f_0039,1.0
split_regime_based,f_0040,0.0
split_regime_based,f_0041,0.0
split_regime_based,f_0042,0.0
split_regime_based,f_0043,0.0
split_regime_based,f_0044,0.0
split_regime_based,f_0045,1.0
split_regime_based,f_0046,0.0
split_regime_based,f_0047,0.0
split_regime_based,f_0048,0.0
split_regime_based,f_0049,0.0
split_regime_based,f_0050,301.0
split_regime_based,f_0051,301.0
split_regime_based,f_0052,10.0
split_regime_based,f_0053,0.0
split_regime_based,f_0054,1.0
split_regime_based,f_0055,10.0
split_regime_based,f_0056,0.0
split_regime_based,f_0057,0.0
split_regime_based,f_0058,39.0
split_regime_based,f_0059,45.95
split_regime_based,f_0060,39.69298611111111
split_regime_based,f_0061,-0.2000000000000001
split_regime_based,f_0062,8.7
split_regime_based,f_0063,8.625
split_regime_based,f_0064,9.915
split_regime_based,f_0065,8.627777777777778
split_regime_based,f_0066,7.6
split_regime_based,f_0067,0.5051392270307651
split_regime_based,f_0068,-0.0500000000000042
split_regime_based,f_0069,44.9
split_regime_based,f_0070,45.075
split_regime_based,f_0071,49.150000000000006
split_regime_based,f_0072,44.93263888888889
split_regime_based,f_0073,40.0
split_regime_based,f_0074,1.7677410721889886
split_regime_based,f_0075,1039.166666666977
split_regime_based,f_0076,8686690.0
split_regime_based,f_0077,8687126.666666666
split_regime_based,f_0078,8687126.666666666
split_regime_based,f_0079,8686908.75
split_regime_based,f_0080,8686690.0
split_regime_based,f_0081,0.0
split_regime_based,f_0082,0.0
split_regime_based,f_0083,319.2180078972161
split_regime_based,f_0084,0.1388888888888857
split_regime_based,f_0085,3846.0
split_regime_based,f_0086,3756.0
split_regime_based,f_0087,6450.5
split_regime_based,f_0088,4484.666666666666
split_regime_based,f_0089,1680.0
split_regime_based,f_0090,0.0
split_regime_based,f_0091,0.0
split_regime_based,f_0092,1097.1852038382972
split_regime_based,f_0093,0.166666666666666
split_regime_based,f_0094,167.5
split_regime_based,f_0095,155.83333333333331
split_regime_based,f_0096,355.5
split_regime_based,f_0097,216.5833333333333
split_regime_based,f_0098,83.0
split_regime_based,f_0099,0.0
split_regime_based,f_0100,0.0
split_regime_based,f_0101,68.71583840842504
split_regime_based,f_0102,21.675833333336413
split_regime_based,f_0103,231498.65000000002
split_regime_based,f_0104,231518.0833333333
split_regime_based,f_0105,231518.0833333333
split_regime_based,f_0106,231508.41527777782
split_regime_based,f_0107,231498.65000000002
split_regime_based,f_0108,0.0
split_regime_based,f_0109,0.0
split_regime_based,f_0110,6.530167072480328
split_regime_based,f_0111,0.0
split_regime_based,f_0112,51.27166666666667
split_regime_based,f_0113,51.25583333333333
split_regime_based,f_0114,55.0
split_regime_based,f_0115,50.89583333333333
split_regime_based,f_0116,45.0
split_regime_based,f_0117,0.0
split_regime_based,f_0118,0.0
split_regime_based,f_0119,2.0914601646244684
split_regime_based,f_0120,0.0
split_regime_based,f_0121,90.0
split_regime_based,f_0122,89.905
split_regime_based,f_0123,91.0
split_regime_based,f_0124,89.45726495726495
