split,model_key,n,mae,rmse,r2,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate,split_strategy,sampling_strategy,selected_action_threshold,best_iteration,selection_score,train_rows_effective
validation,expanded_lgbm_05,249,14.70157539583611,22.09026036961031,0.5559685461942507,0.644056329339355,53,1.0,0.18867924528301888,1.0,1.0,0.37735849056603776,0.905946838251588,0.74,0.6981132075471698,0.7947024407478382,0.53,1.0,0.9625245076561701,0.6981132075471698,0.6981132075471698,0.7702868646254861,56.0,35,1,18,195,0.9722222222222222,0.660377358490566,0.7865168539325842,0.9948979591836735,0.14457831325301204,split_substation_based,substation_balanced,56.0,85,2.452219207360982,2021
validation,expanded_lgbm_03,249,17.26046971058175,23.98044369545622,0.4767292074293218,0.6256030510303312,53,1.0,0.18867924528301888,1.0,0.95,0.3584905660377358,0.8819516881791523,0.8,0.7547169811320755,0.831050854937054,0.48,0.9056603773584906,0.8929603193462473,0.7924528301886793,0.7924528301886793,0.8313243551914166,35.25,42,15,11,181,0.7368421052631579,0.7924528301886793,0.7636363636363637,0.923469387755102,0.2289156626506024,split_substation_based,substation_balanced,35.25,55,2.3996427945758874,2021
validation,expanded_lgbm_04,249,16.17799168527991,25.47377511373025,0.4095288451885676,0.6116614815992245,53,1.0,0.18867924528301888,1.0,0.95,0.3584905660377358,0.8819516881791523,0.72,0.6792452830188679,0.7781119222907564,0.51,0.9622641509433962,0.9271596669191297,0.6981132075471698,0.6981132075471698,0.7697219818251777,62.25,34,2,19,194,0.9444444444444444,0.6415094339622641,0.7640449438202246,0.9897959183673469,0.14457831325301204,split_substation_based,combined_context_weighted,62.25,219,2.3825251205763225,2021
validation,expanded_lgbm_03,249,16.133583346483327,24.922662917669427,0.43480156193116637,0.6129263182312242,53,1.0,0.18867924528301888,1.0,0.95,0.3584905660377358,0.8842559576769871,0.72,0.6792452830188679,0.7790665134302537,0.52,0.9811320754716981,0.9421048019717033,0.6981132075471698,0.6981132075471698,0.7707220444744131,59.75,35,5,18,191,0.875,0.660377358490566,0.7526881720430108,0.9744897959183674,0.1606425702811245,split_substation_based,combined_context_weighted,59.75,217,2.380521281771503,2021
validation,expanded_lgbm_01,249,17.098925953542135,26.060295405945944,0.3820252444144028,0.6072056683067197,53,1.0,0.18867924528301888,1.0,0.9,0.33962264150943394,0.8621683399281469,0.8,0.7547169811320755,0.8370522093815855,0.45,0.8490566037735849,0.8630597130287303,0.7547169811320755,0.7547169811320755,0.8113355248860563,56.75,40,10,13,186,0.8,0.7547169811320755,0.7766990291262137,0.9489795918367347,0.20080321285140562,split_substation_based,combined_context_weighted,56.75,289,2.3597966094991354,2021
validation,expanded_lgbm_05,249,18.792419062310596,27.40767868022789,0.31647158406879194,0.5945962304179112,53,1.0,0.18867924528301888,1.0,0.9,0.33962264150943394,0.8594701264902038,0.76,0.7169811320754716,0.8081499853523445,0.44,0.8301886792452831,0.8593451410603399,0.7169811320754716,0.7169811320754716,0.7833212614502509,59.5,37,8,16,188,0.8222222222222222,0.6981132075471698,0.7551020408163266,0.9591836734693877,0.18072289156626506,split_substation_based,combined_context_weighted,59.5,178,2.2878641047488277,2021
validation,expanded_lgbm_06,249,17.394944445010992,27.628750646397474,0.30540035110627317,0.5898417683307977,53,1.0,0.18867924528301888,1.0,0.95,0.3584905660377358,0.8838894758253479,0.72,0.6792452830188679,0.7748425134669614,0.46,0.8679245283018868,0.8716294077567115,0.6792452830188679,0.6792452830188679,0.7510370922169843,61.0,34,8,19,188,0.8095238095238095,0.6415094339622641,0.7157894736842104,0.9591836734693877,0.1686746987951807,split_substation_based,combined_context_weighted,61.0,260,2.2358625805414793,2021
validation,expanded_lgbm_02,249,17.75101939617455,28.654733829599458,0.2528551226516812,0.5682382983383841,53,1.0,0.18867924528301888,1.0,0.85,0.32075471698113206,0.8365350125089506,0.7,0.660377358490566,0.759858086801788,0.43,0.8113207547169812,0.8293303495041435,0.6792452830188679,0.6792452830188679,0.74680290991639,64.0,35,6,18,190,0.8536585365853658,0.660377358490566,0.7446808510638298,0.9693877551020408,0.1646586345381526,split_substation_based,combined_context_weighted,64.0,179,2.2263621482931093,2021
validation,expanded_lgbm_01,249,18.911469427164562,27.241060796492377,0.3247569907232183,0.608836325330957,53,1.0,0.18867924528301888,1.0,0.85,0.32075471698113206,0.8384085761801054,0.76,0.7169811320754716,0.8070193250025164,0.47,0.8867924528301887,0.8875125682477001,0.7547169811320755,0.7547169811320755,0.8079090696922836,61.5,38,7,15,189,0.8444444444444444,0.7169811320754716,0.7755102040816326,0.9642857142857143,0.18072289156626506,split_substation_based,combined_context_resampled,61.5,196,2.373366114608952,3537
validation,expanded_lgbm_05,249,18.67329757170492,27.9205623466393,0.2906503022464606,0.5818400239910897,53,1.0,0.18867924528301888,1.0,0.8,0.3018867924528302,0.8127032383814446,0.76,0.7169811320754716,0.8002751462442569,0.43,0.8113207547169812,0.8347423093623212,0.7358490566037735,0.7358490566037735,0.7858808854827126,66.0,35,5,18,191,0.875,0.660377358490566,0.7526881720430108,0.9744897959183674,0.1606425702811245,split_substation_based,combined_context_resampled,66.0,143,2.270707901753594,3537
