split,model_key,n,mae,rmse,r2,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate,split_strategy,sampling_strategy,selected_model_key
split_substation_based_holdout,team_7feature_lgbm_raw,256,24.79830257741221,33.90455490114586,0.11849317989968389,0.4164363577206812,65,1.0,0.15384615384615385,1.0,0.7,0.2153846153846154,0.765704315614371,0.6,0.46153846153846156,0.6663383372727932,0.46,0.7076923076923077,0.734428794095365,0.5230769230769231,0.5230769230769231,0.6152825497117319,49.5,30,18,35,173,0.625,0.46153846153846156,0.5309734513274336,0.9057591623036649,0.1875,,,
split_substation_based_holdout,baseline_no_weight,256,13.443410456242223,25.904960397338257,0.4853932867754306,0.46081985605651715,65,1.0,0.15384615384615385,1.0,1.0,0.3076923076923077,0.9186311333761791,0.86,0.6615384615384615,0.8555476607446023,0.5,0.7692307692307693,0.8168167233799444,0.7076923076923077,0.7076923076923077,0.7763547675556898,47.0,35,1,30,190,0.9722222222222222,0.5384615384615384,0.693069306930693,0.9947643979057592,0.140625,split_substation_based,baseline_no_weight,expanded_lgbm_03
split_substation_based_holdout,severity_weighted,256,22.411199381303945,31.812663263448613,0.2239143754712951,0.49966230768069825,65,1.0,0.15384615384615385,1.0,0.95,0.2923076923076923,0.931711971246924,0.74,0.5692307692307692,0.7851729944446921,0.47,0.7230769230769231,0.7796380936899008,0.6615384615384615,0.6615384615384615,0.7405766472280675,55.25,37,13,28,178,0.74,0.5692307692307692,0.6434782608695652,0.9319371727748691,0.1953125,split_substation_based,severity_weighted,expanded_lgbm_05
split_substation_based_holdout,hard_case_weighted,256,12.762329729697292,25.337613058362386,0.5076873658217558,0.4873220746131963,65,1.0,0.15384615384615385,1.0,1.0,0.3076923076923077,0.9186311333761791,0.9,0.6923076923076923,0.8808290711796201,0.52,0.8,0.8415181182578442,0.7230769230769231,0.7230769230769231,0.7941770466770027,32.25,43,3,22,188,0.9347826086956522,0.6615384615384615,0.7747747747747747,0.9842931937172775,0.1796875,split_substation_based,hard_case_weighted,expanded_lgbm_01
split_substation_based_holdout,event_balanced,256,14.29453198380175,26.89903630703584,0.445140502422137,0.4651823513522666,65,1.0,0.15384615384615385,1.0,0.95,0.2923076923076923,0.9204068544494634,0.8,0.6153846153846154,0.8164998615753437,0.51,0.7846153846153846,0.8224240936204481,0.6923076923076923,0.6923076923076923,0.7635084866429637,41.75,35,4,30,187,0.8974358974358975,0.5384615384615384,0.673076923076923,0.9790575916230366,0.15234375,split_substation_based,event_balanced,expanded_lgbm_03
split_substation_based_holdout,substation_balanced,256,15.78681047329614,26.456228093211173,0.4632581799971167,0.4253459399155109,65,1.0,0.15384615384615385,1.0,0.9,0.27692307692307694,0.881217695023775,0.88,0.676923076923077,0.863211272280651,0.48,0.7384615384615385,0.7939328751681496,0.7076923076923077,0.7076923076923077,0.7740639730580401,43.0,36,2,29,189,0.9473684210526315,0.5538461538461539,0.6990291262135921,0.9895287958115183,0.1484375,split_substation_based,substation_balanced,expanded_lgbm_06
split_substation_based_holdout,combined_context_weighted,256,19.051505323727724,28.674706867876413,0.3694673848617561,0.4895380090348233,65,1.0,0.15384615384615385,1.0,0.9,0.27692307692307694,0.9055793108734554,0.88,0.676923076923077,0.8610684334199499,0.49,0.7538461538461538,0.802676866123867,0.6923076923076923,0.6923076923076923,0.7637115898921224,62.25,37,3,28,188,0.925,0.5692307692307692,0.7047619047619047,0.9842931937172775,0.15625,split_substation_based,combined_context_weighted,expanded_lgbm_04
split_substation_based_holdout,combined_context_resampled,256,21.564125270476993,29.523281445494778,0.33159631521773814,0.5189939201451755,65,1.0,0.15384615384615385,1.0,0.85,0.26153846153846155,0.859553052802112,0.92,0.7076923076923077,0.892256530076783,0.51,0.7846153846153846,0.8259777269236449,0.7076923076923077,0.7076923076923077,0.7781632437986223,61.5,41,3,24,188,0.9318181818181818,0.6307692307692307,0.7522935779816513,0.9842931937172775,0.171875,split_substation_based,combined_context_resampled,expanded_lgbm_01
split_regime_based_holdout,rule_base_raw_inference,341,28.9628642228739,33.94937510794004,0.2790310181210107,0.5442774893572769,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,0.9886312529291974,1.0,0.4166666666666667,0.8838134788509899,0.77,0.6416666666666667,0.7855762267989284,0.7333333333333333,0.7333333333333333,0.7796651355142465,48.0,81,35,34,191,0.6982758620689655,0.7043478260869566,0.7012987012987012,0.8451327433628318,0.34017595307917886,,,
split_regime_based_holdout,team_7feature_lgbm_raw,341,25.090209775514275,33.12836551187236,0.3134802600891936,0.45872485725407297,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,0.9886312529291974,0.96,0.4,0.8392873060857352,0.66,0.55,0.7122085225199539,0.6166666666666667,0.6166666666666667,0.7029473567897155,49.5,54,3,61,223,0.9473684210526315,0.46956521739130436,0.627906976744186,0.9867256637168141,0.16715542521994134,,,
split_regime_based_holdout,baseline_no_weight,341,31.189527597474807,34.931253145388865,0.2367244637037147,0.5290423878566747,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,0.9890049810095713,0.74,0.30833333333333335,0.7797685822510805,0.65,0.5416666666666666,0.7344636232272223,0.6583333333333333,0.6583333333333333,0.7425080643312905,36.25,100,57,15,169,0.6369426751592356,0.8695652173913043,0.7352941176470589,0.7477876106194691,0.4604105571847507,split_regime_based,baseline_no_weight,expanded_lgbm_03
split_regime_based_holdout,severity_weighted,341,39.47901462127466,42.813328989182374,-0.14659754387849921,0.5805407128689024,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,0.988418589432966,0.9,0.375,0.8764158223905549,0.73,0.6083333333333333,0.7761229036694449,0.7,0.7,0.7710955300151098,55.25,100,47,15,179,0.6802721088435374,0.8695652173913043,0.7633587786259541,0.7920353982300885,0.4310850439882698,split_regime_based,severity_weighted,expanded_lgbm_04
split_regime_based_holdout,hard_case_weighted,341,25.651824053538242,32.26787607869076,0.3486809635019764,0.5397568296026728,120,1.0,0.08333333333333333,0.9677719561143527,1.0,0.16666666666666666,0.9792010727714692,0.7,0.2916666666666667,0.7536789546574492,0.69,0.575,0.7529340246971571,0.6666666666666666,0.6666666666666666,0.752247572968273,46.75,101,54,14,172,0.6516129032258065,0.8782608695652174,0.7481481481481481,0.7610619469026548,0.45454545454545453,split_regime_based,hard_case_weighted,expanded_lgbm_05
split_regime_based_holdout,event_balanced,341,33.01309964069261,36.25663658672714,0.17770426457722355,0.5240334374047253,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,1.0,0.64,0.26666666666666666,0.7109198323770569,0.6,0.5,0.6989951352922174,0.6333333333333333,0.6333333333333333,0.7200784794724705,40.75,100,50,15,176,0.6666666666666666,0.8695652173913043,0.7547169811320754,0.7787610619469026,0.4398826979472141,split_regime_based,event_balanced,expanded_lgbm_01
split_regime_based_holdout,substation_balanced,341,33.936900876237786,37.57782827689584,0.11668345349443743,0.4635037241218728,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,1.0,0.7,0.2916666666666667,0.7475849893556433,0.54,0.45,0.6653807536709596,0.55,0.55,0.6796600066275547,44.5,99,69,16,157,0.5892857142857143,0.8608695652173913,0.6996466431095407,0.6946902654867256,0.49266862170087977,split_regime_based,substation_balanced,expanded_lgbm_01
split_regime_based_holdout,combined_context_weighted,341,32.17937860515479,41.86766042716455,-0.0965044464864675,0.5304064287326956,120,1.0,0.08333333333333333,1.0,0.9,0.15,0.9057261680778725,0.78,0.325,0.7890076247397668,0.64,0.5333333333333333,0.7274608424673121,0.625,0.625,0.7166333069165093,53.5,102,82,13,144,0.5543478260869565,0.8869565217391304,0.6822742474916388,0.6371681415929203,0.5395894428152492,split_regime_based,combined_context_weighted,expanded_lgbm_05
split_regime_based_holdout,combined_context_resampled,341,32.04976912958996,42.319678288929005,-0.12030874503982969,0.481058909183851,120,0.9,0.075,0.9148568823583791,0.8,0.13333333333333333,0.8214394946043633,0.74,0.30833333333333335,0.7463572033578951,0.61,0.5083333333333333,0.6855660292094788,0.5916666666666667,0.5916666666666667,0.6832527733670702,59.0,92,63,23,163,0.5935483870967742,0.8,0.6814814814814815,0.7212389380530974,0.45454545454545453,split_regime_based,combined_context_resampled,expanded_lgbm_05
