safe_feature,original_feature,split_strategy,sampling_strategy,selected_model_key,importance
f_0099,p_net_meter_heat_power__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0100,p_net_meter_heat_power__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0101,p_net_meter_heat_power__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0102,p_net_meter_volume__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0103,p_net_meter_volume__first,split_time_based,baseline_no_weight,expanded_lgbm_01,4
f_0104,p_net_meter_volume__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0105,p_net_meter_volume__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0106,p_net_meter_volume__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0107,p_net_meter_volume__min,split_time_based,baseline_no_weight,expanded_lgbm_01,1
f_0108,p_net_meter_volume__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0109,p_net_meter_volume__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0110,p_net_meter_volume__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0111,p_net_return_temperature__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0112,p_net_return_temperature__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0113,p_net_return_temperature__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0114,p_net_return_temperature__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0115,p_net_return_temperature__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0116,p_net_return_temperature__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0117,p_net_return_temperature__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0118,p_net_return_temperature__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0119,p_net_return_temperature__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0120,p_net_supply_temperature__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0121,p_net_supply_temperature__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0122,p_net_supply_temperature__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0123,p_net_supply_temperature__max,split_time_based,baseline_no_weight,expanded_lgbm_01,3
f_0124,p_net_supply_temperature__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0125,p_net_supply_temperature__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0126,p_net_supply_temperature__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0127,p_net_supply_temperature__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0128,p_net_supply_temperature__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0129,row_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0130,s_hc1_supply_temperature__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0131,s_hc1_supply_temperature__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0132,s_hc1_supply_temperature__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0133,s_hc1_supply_temperature__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0134,s_hc1_supply_temperature__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0135,s_hc1_supply_temperature__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0136,s_hc1_supply_temperature__std,split_time_based,baseline_no_weight,expanded_lgbm_01,1
f_0137,s_hc1_supply_temperature_setpoint__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0138,s_hc1_supply_temperature_setpoint__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0139,timestamp_gap_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0140,hc1_supply_temperature_gap__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
