scope,date_filter,min_substations_per_date,score,description,top_n_substations_per_day,ranking_dates,average_substations_per_date,max_substations_per_date,total_station_days,total_pre_fault_station_days,normal_station_days,total_fault_events,selected_station_days,pre_fault_station_day_hits,precision_at_n,station_day_recall_at_n,event_recall_at_n,dates_with_pre_fault,prefault_date_hits,prefault_date_hit_rate,urgent_station_day_hits,urgent_station_day_recall_at_n,normal_false_station_days,normal_false_station_day_rate,distinct_substations_selected,median_pre_fault_rank
overall,rankable_3plus,3,multi_horizon_persistence_score,24h/3d/7d persistence score,3,49,3.4285714285714284,6,168,53,115,17,147,47,0.3197278911564626,0.8867924528301887,1.0,31,31,1.0,27,1.0,100,0.8695652173913043,35,1.0
overall,rankable_3plus,3,multi_horizon_persistence_score,24h/3d/7d persistence score,5,49,3.4285714285714284,6,168,53,115,17,165,53,0.3212121212121212,1.0,1.0,31,31,1.0,27,1.0,112,0.9739130434782609,35,1.0
overall,rankable_3plus,3,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,1,49,3.4285714285714284,6,168,53,115,17,49,24,0.4897959183673469,0.4528301886792453,0.5882352941176471,31,24,0.7741935483870968,14,0.5185185185185185,25,0.21739130434782608,18,2.0
overall,rankable_3plus,3,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,3,49,3.4285714285714284,6,168,53,115,17,147,48,0.32653061224489793,0.9056603773584906,1.0,31,31,1.0,25,0.9259259259259259,99,0.8608695652173913,35,2.0
overall,rankable_3plus,3,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,5,49,3.4285714285714284,6,168,53,115,17,165,52,0.3151515151515151,0.9811320754716981,1.0,31,31,1.0,27,1.0,113,0.9826086956521739,35,2.0
validation,all_dates,1,priority_score,final rule-based priority score,1,110,1.290909090909091,3,142,46,96,11,110,41,0.37272727272727274,0.8913043478260869,1.0,41,41,1.0,18,0.9,69,0.71875,30,1.0
validation,all_dates,1,priority_score,final rule-based priority score,3,110,1.290909090909091,3,142,46,96,11,142,46,0.323943661971831,1.0,1.0,41,41,1.0,20,1.0,96,1.0,31,1.0
validation,all_dates,1,risk_score,risk probability plus temporal smoothing,1,110,1.290909090909091,3,142,46,96,11,110,40,0.36363636363636365,0.8695652173913043,1.0,41,40,0.975609756097561,17,0.85,70,0.7291666666666666,30,1.0
validation,all_dates,1,risk_score,risk probability plus temporal smoothing,3,110,1.290909090909091,3,142,46,96,11,142,46,0.323943661971831,1.0,1.0,41,41,1.0,20,1.0,96,1.0,31,1.0
validation,all_dates,1,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,1,110,1.290909090909091,3,142,46,96,11,110,39,0.35454545454545455,0.8478260869565217,1.0,41,39,0.9512195121951219,16,0.8,71,0.7395833333333334,30,1.0
validation,all_dates,1,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,3,110,1.290909090909091,3,142,46,96,11,142,46,0.323943661971831,1.0,1.0,41,41,1.0,20,1.0,96,1.0,31,1.0
validation,all_dates,1,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,1,110,1.290909090909091,3,142,46,96,11,110,40,0.36363636363636365,0.8695652173913043,1.0,41,40,0.975609756097561,17,0.85,70,0.7291666666666666,28,1.0
validation,all_dates,1,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,3,110,1.290909090909091,3,142,46,96,11,142,46,0.323943661971831,1.0,1.0,41,41,1.0,20,1.0,96,1.0,31,1.0
validation,all_dates,1,multi_horizon_persistence_score,24h/3d/7d persistence score,1,110,1.290909090909091,3,142,46,96,11,110,40,0.36363636363636365,0.8695652173913043,0.9090909090909091,41,40,0.975609756097561,17,0.85,70,0.7291666666666666,29,1.0
validation,all_dates,1,multi_horizon_persistence_score,24h/3d/7d persistence score,3,110,1.290909090909091,3,142,46,96,11,142,46,0.323943661971831,1.0,1.0,41,41,1.0,20,1.0,96,1.0,31,1.0
