feature,category,importance,missing_rate,zero_rate,unique_count,min,median,max,target_corr,causal_requirement
s_hc1_supply_temperature_setpoint__mean__roll7d_slope,causal_temporal,22.0,0.0,0.07154953429297206,2085,-10.012499999999996,1.7070788519799085e-15,16.08194444444445,0.04065145574955419,must be computed using only data available at or before window_end
s_dhw_lower_storage_temperature__max,sensor_window_stat,22.0,0.0,0.0,527,7.9,56.1,70.1,-0.11496519373935293,must be computed using only data available at or before window_end
s_dhw_supply_temperature__delta,causal_temporal,21.0,0.0,0.015664690939881456,561,-25.5,-0.0200000000000031,27.9,0.0031069618352876083,must be computed using only data available at or before window_end
raw_ae_score_max__roll3_mean,raw_ae_derived,21.0,0.0,0.0,2362,1.6782696666666668,6.5273126,147.99227333333332,-0.06147446148312314,must be computed using only data available at or before window_end
mw_anomaly_12h_mahalanobis_score_ratio,anomaly_derived,20.0,0.0,0.0,2362,0.056937597437558,0.2551318971357147,437.9193409808372,-0.04520827173909812,must be computed using only data available at or before window_end
mw_anomaly_3h_score__lag1,anomaly_derived,20.0,0.0,0.0,2240,0.3446838003592292,0.46541060903907694,245.52865867600465,-0.028380868568886688,must be computed using only data available at or before window_end
dhw_supply_temperature_gap__last__roll3d_mean,causal_temporal,20.0,0.0,0.0004233700254022015,1116,-49.06666666666667,0.5499999999999972,31.365000000000002,0.07352284695627935,must be computed using only data available at or before window_end
raw_ae_roll5d_cmax_q999__lag1,raw_ae_derived,20.0,0.0,0.7337002540220152,76,0.0,0.0,720.0,0.17350032614908653,must be computed using only data available at or before window_end
risk_probability__lag1,risk_derived,20.0,0.0,0.0,2236,0.0011193607982698,0.022901384975610402,0.997570688789836,0.03171896030768421,must be computed using only data available at or before window_end
mw_anomaly_3h_score__lag2,anomaly_derived,19.0,0.0,0.0,2125,0.3446838003592292,0.46469625955046007,245.52865867600465,-0.01935428320881624,must be computed using only data available at or before window_end
mw_anomaly_3h_score__roll3_mean,anomaly_derived,19.0,0.0,0.0,2362,0.35007809915437854,0.47806692200016976,190.2360487182919,-0.042567804436983256,must be computed using only data available at or before window_end
network_temperature_gap__mean__lag1,causal_temporal,19.0,0.0,0.004233700254022015,1671,-0.6111111111111112,41.23354166666667,64.75595238095238,-0.021335002431572235,must be computed using only data available at or before window_end
s_hc1_supply_temperature__mean__roll7d_slope,causal_temporal,19.0,0.0,0.05334462320067739,2236,-14.474444444444451,0.0027376503327586404,15.773611111111087,0.04100237950992539,must be computed using only data available at or before window_end
risk_probability__roll3_mean,risk_derived,19.0,0.0,0.0,2361,0.0013293731289576998,0.028144369628192584,0.9974104149635323,0.029650314920207477,must be computed using only data available at or before window_end
risk_probability_roll4_max__roll3_mean,risk_derived,19.0,0.0,0.0,1941,0.0015921609738378,0.0577762135352924,0.997570688789836,0.04455603238619688,must be computed using only data available at or before window_end
network_temperature_gap__max_abs,sensor_window_stat,19.0,0.0,0.003386960203217612,593,0.0,48.0,77.59,-0.08208161186526028,must be computed using only data available at or before window_end
p_net_meter_heat_power__max,sensor_window_stat,19.0,0.0,0.008890770533446233,1290,0.0,309.75,381900.0,-0.0021339091790162595,must be computed using only data available at or before window_end
group_mahalanobis_configuration_score_ratio__lag1,anomaly_derived,18.0,0.0,0.0,2240,0.084779234197782,0.5942921769260152,3974.9306483454375,-0.09966580229803228,must be computed using only data available at or before window_end
iforest_anomaly_score__delta1,anomaly_derived,18.0,0.0,0.05292125317527519,2238,-0.1439114128529116,0.0,0.15580100735358876,-0.029036688859883145,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll24h_mean,causal_temporal,18.0,0.0,0.003386960203217612,2222,-0.3472222222222222,41.38027777777778,59.91666666666666,-0.01893873877225888,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll7d_mean,causal_temporal,18.0,0.0,0.003386960203217612,2336,0.0,41.0834623015873,59.91666666666666,-0.01582978599010174,must be computed using only data available at or before window_end
s_dhw_supply_temperature__first,context_or_other,18.0,0.0,0.0,362,9.58,60.9,83.16,0.07095348091889679,must be computed using only data available at or before window_end
outdoor_temperature__mean,sensor_window_stat,18.0,0.0,0.0,2195,-5.966666666666667,8.405972222222223,30.747222222222224,0.021220340769985788,must be computed using only data available at or before window_end
group_mahalanobis_configuration_score_ratio__roll3_mean,anomaly_derived,17.0,0.0,0.0,2362,0.0918005239853078,0.596222977719342,3613.25152587571,-0.11924128602694599,must be computed using only data available at or before window_end
mw_anomaly_3h_score__delta1,anomaly_derived,17.0,0.0,0.05292125317527519,2238,-245.09040960500332,0.0,137.06287225012696,-0.036764807288026544,must be computed using only data available at or before window_end
network_temperature_gap__last__roll24h_delta,causal_temporal,17.0,0.0,0.2548687552921253,737,-46.0,0.0,36.0,0.05593669221954768,must be computed using only data available at or before window_end
network_temperature_gap__last__roll7d_mean,causal_temporal,17.0,0.0,0.0029635901778154107,1877,-1.0,40.85092592592593,63.0,-0.0012581900283128984,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll7d_slope,causal_temporal,17.0,0.0,0.05376799322607959,2236,-6.516666666666666,-0.0021133588046203097,10.629166666666665,-0.006035854890012954,must be computed using only data available at or before window_end
p_net_meter_heat_power__mean__roll24h_delta,causal_temporal,17.0,0.0,0.21253175275190517,1790,-138744.44444444444,0.0,47958.333333333314,0.14841838256697162,must be computed using only data available at or before window_end
p_hc1_return_temperature__first,context_or_other,17.0,0.0,0.0,723,10.61,43.9,67.8,0.059933330858522975,must be computed using only data available at or before window_end
risk_probability__delta1,risk_derived,17.0,0.0,0.054614733276883994,2234,-0.8869304328098742,0.0,0.7145798676542366,-0.040527106041547245,must be computed using only data available at or before window_end
group_mahalanobis_configuration_score_ratio__delta1,anomaly_derived,16.0,0.0,0.05292125317527519,2238,-3733.749731660679,0.0,3516.5752250630812,0.022190236519408192,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll7d_mean,causal_temporal,16.0,0.0,0.002540220152413209,2238,-43.85000000000001,0.14688644688644714,43.5125,0.007505741717646713,must be computed using only data available at or before window_end
outdoor_temperature__std__roll7d_slope,causal_temporal,16.0,0.0,0.0558848433530906,2231,-2.243744428678278,6.520808377531952e-05,6.687621449587722,0.028332011536008218,must be computed using only data available at or before window_end
p_net_return_temperature__mean__lag1,causal_temporal,16.0,0.0,0.0,1478,11.333333333333334,49.87020833333334,68.19444444444444,0.08090439333967875,must be computed using only data available at or before window_end
p_net_return_temperature__mean__roll3_mean,causal_temporal,16.0,0.0,0.0,2122,11.379629629629628,49.763888888888886,68.01205246913581,0.08094503932715619,must be computed using only data available at or before window_end
p_net_meter_flow__std,sensor_window_stat,16.0,0.0,0.00846740050804403,2336,0.0,955.643305155153,2098785.3441061857,-0.015891152095915097,must be computed using only data available at or before window_end
mw_anomaly_1h_score,anomaly_derived,15.0,0.0,0.0,2362,0.3265654694545863,0.42359419147344357,390.22550535005735,-0.025448102625168053,must be computed using only data available at or before window_end
p_net_return_temperature__mean__roll24h_delta,causal_temporal,15.0,0.0,0.21507197290431837,1267,-27.644444444444442,0.0,17.166666666666664,-0.08432311512623064,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__mean__roll3d_slope,causal_temporal,15.0,0.0,0.06773920406435224,2044,-10.012499999999996,8.417783842547414e-16,16.08194444444445,0.04505866685868215,must be computed using only data available at or before window_end
raw_ae_score_ratio_q999_max__lag1,raw_ae_derived,15.0,0.0,0.0,2240,0.09058489,0.47532502,11.043676,-0.05986083549595618,must be computed using only data available at or before window_end
network_temperature_gap__max_abs__roll3d_mean,causal_temporal,14.0,0.0,0.0029635901778154107,1495,0.0,47.98569444444445,66.33333333333333,-0.059049855840958156,must be computed using only data available at or before window_end
p_net_meter_flow__mean__roll3d_mean,causal_temporal,14.0,0.0,0.0,2351,2.1666666666666665,3441.9840277777776,7353000.0,0.028770160673613734,must be computed using only data available at or before window_end
p_net_return_temperature__mean__lag2,causal_temporal,14.0,0.0,0.0,1428,11.97222222222222,49.93826388888888,68.19444444444444,0.08254457404137369,must be computed using only data available at or before window_end
p_net_return_temperature__mean__roll3d_slope,causal_temporal,14.0,0.0,0.0550381033022862,2226,-15.858333333333334,0.0,10.52777777777776,-0.09023362072683823,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__lag2,causal_temporal,14.0,0.0,0.0,1425,12.0,89.41666666666667,109.19402777777778,0.038031374666245614,must be computed using only data available at or before window_end
p_net_meter_heat_power__first,context_or_other,14.0,0.0,0.029635901778154106,943,0.0,153.5,381900.0,-0.0013306778943264683,must be computed using only data available at or before window_end
s_hc1_supply_temperature__first,context_or_other,14.0,0.0,0.0,799,12.93,58.8,93.5,0.08893023752503311,must be computed using only data available at or before window_end
s_dhw_lower_storage_temperature__std,sensor_window_stat,14.0,0.0,0.003386960203217612,1528,0.0,9.606589461627788,28.22450426266183,-0.029708418837661302,must be computed using only data available at or before window_end
s_hc1_supply_temperature__std,sensor_window_stat,14.0,0.0,0.006350550381033023,2348,0.0,2.3193070826317816,20.538589862782388,-0.1451459571087615,must be computed using only data available at or before window_end
doy_cos,time_calendar,14.0,0.0,0.0,245,-0.9998526477050268,0.5147928015098309,0.9998526477050268,0.09366586339414831,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll7d_slope,causal_temporal,13.0,0.0,0.05376799322607959,2229,-22.94999999999998,0.0,23.075,-0.024746166498228663,must be computed using only data available at or before window_end
p_net_return_temperature__mean__delta1,causal_temporal,13.0,0.0,0.06435224386113463,1503,-18.361111111111114,0.0,13.6388888888889,-0.023810595252969143,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll3d_mean,causal_temporal,13.0,0.0,0.0,2280,13.182870370370368,89.36691086691087,108.5629050925926,0.045190733511426905,must be computed using only data available at or before window_end
day_of_week,context_or_other,13.0,0.0,0.15029635901778154,7,0.0,3.0,6.0,0.060973808698363406,must be computed using only data available at or before window_end
risk_probability_roll8_mean__lag1,risk_derived,13.0,0.0,0.0,2240,0.0014261126168904,0.0385972120869376,0.9973167149623438,0.06844608860351124,must be computed using only data available at or before window_end
network_temperature_gap__last,sensor_window_stat,13.0,0.0,0.007620660457239628,848,-1.0,40.587500000000006,70.0,0.008045608543031043,must be computed using only data available at or before window_end
p_net_return_temperature__max,sensor_window_stat,13.0,0.0,0.0,501,11.0,55.0,77.0,0.02985738382075997,must be computed using only data available at or before window_end
network_temperature_gap__last__roll7d_slope,causal_temporal,12.0,0.0,0.05884843353090601,2170,-30.0,0.0,19.999999999999993,0.09304316237458475,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll24h_delta,causal_temporal,12.0,0.0,0.21210838272650295,1481,-33.861111111111114,0.0,36.972222222222214,0.058599536851470395,must be computed using only data available at or before window_end
p_net_meter_heat_power__mean__roll7d_slope,causal_temporal,12.0,0.0,0.0563082133784928,2229,-49088.888888888876,0.042367919389978206,29033.333333333314,-0.025397197290421225,must be computed using only data available at or before window_end
outdoor_temperature__first,context_or_other,12.0,0.0,0.0021168501270110076,649,-6.5,8.4,30.7,0.029637359635636993,must be computed using only data available at or before window_end
risk_temporal_boost__delta1,risk_derived,12.0,0.0,0.10626587637595258,2112,-0.8076911716971849,0.0,0.7913094097979843,0.02054976659013881,must be computed using only data available at or before window_end
dhw_supply_temperature_gap__mean,sensor_window_stat,12.0,0.0,0.0,1230,-51.38722222222222,0.3375,24.60277777777777,0.070319504802671,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__max_abs,sensor_window_stat,12.0,0.0,0.0,833,0.0999999999999943,4.099999999999994,62.0,-0.12950355036414335,must be computed using only data available at or before window_end
s_dhw_lower_storage_temperature__mean,sensor_window_stat,12.0,0.0,0.0,1496,7.67638888888889,32.16319444444444,69.61388888888888,-0.11745796230593793,must be computed using only data available at or before window_end
