variant,split,actual_bucket,predicted_bucket,count
A6_no_anomaly_context,validation,3-7d,3-7d,0
A6_no_anomaly_context,holdout,0-24h,0-24h,20
A6_no_anomaly_context,holdout,0-24h,1-3d,15
A6_no_anomaly_context,holdout,0-24h,3-7d,0
A6_no_anomaly_context,holdout,1-3d,0-24h,10
A6_no_anomaly_context,holdout,1-3d,1-3d,38
A6_no_anomaly_context,holdout,1-3d,3-7d,0
A6_no_anomaly_context,holdout,3-7d,0-24h,3
A6_no_anomaly_context,holdout,3-7d,1-3d,0
A6_no_anomaly_context,holdout,3-7d,3-7d,0
A7_base_plus_risk_only,train,0-24h,0-24h,137
A7_base_plus_risk_only,train,0-24h,1-3d,0
A7_base_plus_risk_only,train,0-24h,3-7d,0
A7_base_plus_risk_only,train,1-3d,0-24h,0
A7_base_plus_risk_only,train,1-3d,1-3d,234
A7_base_plus_risk_only,train,1-3d,3-7d,0
A7_base_plus_risk_only,train,3-7d,0-24h,0
A7_base_plus_risk_only,train,3-7d,1-3d,0
A7_base_plus_risk_only,train,3-7d,3-7d,36
A7_base_plus_risk_only,validation,0-24h,0-24h,24
A7_base_plus_risk_only,validation,0-24h,1-3d,15
A7_base_plus_risk_only,validation,0-24h,3-7d,0
A7_base_plus_risk_only,validation,1-3d,0-24h,33
A7_base_plus_risk_only,validation,1-3d,1-3d,41
A7_base_plus_risk_only,validation,1-3d,3-7d,0
A7_base_plus_risk_only,validation,3-7d,0-24h,20
A7_base_plus_risk_only,validation,3-7d,1-3d,10
A7_base_plus_risk_only,validation,3-7d,3-7d,0
A7_base_plus_risk_only,holdout,0-24h,0-24h,21
A7_base_plus_risk_only,holdout,0-24h,1-3d,14
A7_base_plus_risk_only,holdout,0-24h,3-7d,0
A7_base_plus_risk_only,holdout,1-3d,0-24h,15
A7_base_plus_risk_only,holdout,1-3d,1-3d,33
A7_base_plus_risk_only,holdout,1-3d,3-7d,0
A7_base_plus_risk_only,holdout,3-7d,0-24h,3
A7_base_plus_risk_only,holdout,3-7d,1-3d,0
A7_base_plus_risk_only,holdout,3-7d,3-7d,0
A8_top50,train,0-24h,0-24h,137
A8_top50,train,0-24h,1-3d,0
A8_top50,train,0-24h,3-7d,0
A8_top50,train,1-3d,0-24h,0
A8_top50,train,1-3d,1-3d,234
A8_top50,train,1-3d,3-7d,0
A8_top50,train,3-7d,0-24h,0
A8_top50,train,3-7d,1-3d,0
A8_top50,train,3-7d,3-7d,36
A8_top50,validation,0-24h,0-24h,7
A8_top50,validation,0-24h,1-3d,32
A8_top50,validation,0-24h,3-7d,0
A8_top50,validation,1-3d,0-24h,1
A8_top50,validation,1-3d,1-3d,73
A8_top50,validation,1-3d,3-7d,0
A8_top50,validation,3-7d,0-24h,8
A8_top50,validation,3-7d,1-3d,22
A8_top50,validation,3-7d,3-7d,0
A8_top50,holdout,0-24h,0-24h,19
A8_top50,holdout,0-24h,1-3d,16
A8_top50,holdout,0-24h,3-7d,0
A8_top50,holdout,1-3d,0-24h,10
A8_top50,holdout,1-3d,1-3d,38
A8_top50,holdout,1-3d,3-7d,0
A8_top50,holdout,3-7d,0-24h,2
A8_top50,holdout,3-7d,1-3d,1
A8_top50,holdout,3-7d,3-7d,0
A8_top100,train,0-24h,0-24h,137
A8_top100,train,0-24h,1-3d,0
A8_top100,train,0-24h,3-7d,0
A8_top100,train,1-3d,0-24h,0
A8_top100,train,1-3d,1-3d,234
A8_top100,train,1-3d,3-7d,0
A8_top100,train,3-7d,0-24h,0
A8_top100,train,3-7d,1-3d,0
A8_top100,train,3-7d,3-7d,36
A8_top100,validation,0-24h,0-24h,9
A8_top100,validation,0-24h,1-3d,30
A8_top100,validation,0-24h,3-7d,0
A8_top100,validation,1-3d,0-24h,1
A8_top100,validation,1-3d,1-3d,73
A8_top100,validation,1-3d,3-7d,0
A8_top100,validation,3-7d,0-24h,8
A8_top100,validation,3-7d,1-3d,22
A8_top100,validation,3-7d,3-7d,0
A8_top100,holdout,0-24h,0-24h,20
A8_top100,holdout,0-24h,1-3d,15
A8_top100,holdout,0-24h,3-7d,0
A8_top100,holdout,1-3d,0-24h,9
A8_top100,holdout,1-3d,1-3d,39
A8_top100,holdout,1-3d,3-7d,0
A8_top100,holdout,3-7d,0-24h,3
A8_top100,holdout,3-7d,1-3d,0
A8_top100,holdout,3-7d,3-7d,0
A8_top150,train,0-24h,0-24h,137
A8_top150,train,0-24h,1-3d,0
A8_top150,train,0-24h,3-7d,0
A8_top150,train,1-3d,0-24h,0
A8_top150,train,1-3d,1-3d,234
A8_top150,train,1-3d,3-7d,0
A8_top150,train,3-7d,0-24h,0
A8_top150,train,3-7d,1-3d,0
A8_top150,train,3-7d,3-7d,36
A8_top150,validation,0-24h,0-24h,8
A8_top150,validation,0-24h,1-3d,31
A8_top150,validation,0-24h,3-7d,0
A8_top150,validation,1-3d,0-24h,1
A8_top150,validation,1-3d,1-3d,73
A8_top150,validation,1-3d,3-7d,0
A8_top150,validation,3-7d,0-24h,8
A8_top150,validation,3-7d,1-3d,22
A8_top150,validation,3-7d,3-7d,0
A8_top150,holdout,0-24h,0-24h,19
A8_top150,holdout,0-24h,1-3d,16
A8_top150,holdout,0-24h,3-7d,0
A8_top150,holdout,1-3d,0-24h,9
A8_top150,holdout,1-3d,1-3d,39
A8_top150,holdout,1-3d,3-7d,0
A8_top150,holdout,3-7d,0-24h,3
A8_top150,holdout,3-7d,1-3d,0
A8_top150,holdout,3-7d,3-7d,0
A8_top200,train,0-24h,0-24h,137
A8_top200,train,0-24h,1-3d,0
A8_top200,train,0-24h,3-7d,0
A8_top200,train,1-3d,0-24h,0
A8_top200,train,1-3d,1-3d,234
A8_top200,train,1-3d,3-7d,0
A8_top200,train,3-7d,0-24h,0
A8_top200,train,3-7d,1-3d,0
A8_top200,train,3-7d,3-7d,36
A8_top200,validation,0-24h,0-24h,9
A8_top200,validation,0-24h,1-3d,30
A8_top200,validation,0-24h,3-7d,0
A8_top200,validation,1-3d,0-24h,1
A8_top200,validation,1-3d,1-3d,73
A8_top200,validation,1-3d,3-7d,0
A8_top200,validation,3-7d,0-24h,8
A8_top200,validation,3-7d,1-3d,22
A8_top200,validation,3-7d,3-7d,0
A8_top200,holdout,0-24h,0-24h,17
A8_top200,holdout,0-24h,1-3d,18
A8_top200,holdout,0-24h,3-7d,0
A8_top200,holdout,1-3d,0-24h,9
A8_top200,holdout,1-3d,1-3d,39
A8_top200,holdout,1-3d,3-7d,0
A8_top200,holdout,3-7d,0-24h,3
A8_top200,holdout,3-7d,1-3d,0
A8_top200,holdout,3-7d,3-7d,0
