variant,threshold,rows,positives,predicted_positive,predicted_positive_rate,precision,recall,f1,false_positive_rate,false_positive_count,true_positive_count
risk_gated_urgency_x8,48.0,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,48.5,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,49.0,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,49.5,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,50.0,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,50.5,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,51.0,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,51.5,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,52.0,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
risk_gated_urgency_x8,52.5,300,86,43,0.14333333333333334,1.0,0.5,0.6666666666666666,0.0,0,43
risk_gated_urgency_x8,53.0,300,86,41,0.13666666666666666,1.0,0.47674418604651164,0.6456692913385826,0.0,0,41
risk_gated_urgency_x8,53.5,300,86,41,0.13666666666666666,1.0,0.47674418604651164,0.6456692913385826,0.0,0,41
risk_gated_urgency_x8,54.0,300,86,39,0.13,1.0,0.45348837209302323,0.624,0.0,0,39
risk_gated_urgency_x8,54.5,300,86,38,0.12666666666666668,1.0,0.4418604651162791,0.6129032258064516,0.0,0,38
risk_gated_urgency_x8,55.0,300,86,38,0.12666666666666668,1.0,0.4418604651162791,0.6129032258064516,0.0,0,38
risk_gated_urgency_x8,55.5,300,86,36,0.12,1.0,0.4186046511627907,0.5901639344262295,0.0,0,36
risk_gated_urgency_x8,56.0,300,86,34,0.11333333333333333,1.0,0.3953488372093023,0.5666666666666667,0.0,0,34
risk_gated_urgency_x8,56.5,300,86,34,0.11333333333333333,1.0,0.3953488372093023,0.5666666666666667,0.0,0,34
risk_gated_urgency_x8,57.0,300,86,34,0.11333333333333333,1.0,0.3953488372093023,0.5666666666666667,0.0,0,34
risk_gated_urgency_x8,57.5,300,86,34,0.11333333333333333,1.0,0.3953488372093023,0.5666666666666667,0.0,0,34
risk_gated_urgency_x8,58.0,300,86,34,0.11333333333333333,1.0,0.3953488372093023,0.5666666666666667,0.0,0,34
