split,method,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate,window_length_hours
train,mahalanobis,878,631,247,0.6928787285781197,0.6257725465032241,0.925531914893617,0.3522267206477733,0.5102639296187683,0.011093502377179081,12
train,iforest,878,631,247,0.5942306088273224,0.41676031788288276,0.65,0.05263157894736842,0.09737827715355805,0.011093502377179081,12
train,ensemble_any,878,631,247,0.6782948471996766,0.6147433416874876,0.8613861386138614,0.3522267206477733,0.5,0.022187004754358162,12
validation,mahalanobis,180,122,58,0.4485585076314302,0.30214428805222904,0.25,0.034482758620689655,0.06060606060606061,0.04918032786885246,12
validation,iforest,180,122,58,0.5791407574901075,0.36448889455393807,0.0,0.0,0.0,0.0,12
validation,ensemble_any,180,122,58,0.47427925381571506,0.31282354512751565,0.25,0.034482758620689655,0.06060606060606061,0.04918032786885246,12
holdout,mahalanobis,97,66,31,0.6133919843597263,0.5518375885250499,0.34210526315789475,0.41935483870967744,0.37681159420289856,0.3787878787878788,24
holdout,iforest,97,66,31,0.6344086021505377,0.5783713065153397,1.0,0.16129032258064516,0.2777777777777778,0.0,24
holdout,ensemble_any,97,66,31,0.6129032258064516,0.5510289716594476,0.34210526315789475,0.41935483870967744,0.37681159420289856,0.3787878787878788,24
train,mahalanobis,446,317,129,0.7502017460201013,0.6909710891027303,0.9333333333333333,0.43410852713178294,0.5925925925925926,0.012618296529968454,24
train,iforest,446,317,129,0.5978040251387767,0.4441247679425995,0.6923076923076923,0.06976744186046512,0.1267605633802817,0.012618296529968454,24
train,ensemble_any,446,317,129,0.7251852395275474,0.6718439600757987,0.8888888888888888,0.43410852713178294,0.5833333333333334,0.022082018927444796,24
validation,mahalanobis,91,61,30,0.516393442622951,0.3697981463585662,0.3333333333333333,0.1,0.15384615384615385,0.09836065573770492,24
validation,iforest,91,61,30,0.6,0.41736811230482385,0.0,0.0,0.0,0.0,24
validation,ensemble_any,91,61,30,0.526775956284153,0.3741211493576615,0.3333333333333333,0.1,0.15384615384615385,0.09836065573770492,24
